"","game_pk","link","gameType","season","gameDate","officialDate","isTie","gameNumber","publicFacing","doubleHeader","gamedayType","tiebreaker","calendarEventID","seasonDisplay","dayNight","scheduledInnings","reverseHomeAwayStatus","inningBreakLength","gamesInSeries","seriesGameNumber","seriesDescription","recordSource","ifNecessary","ifNecessaryDescription","rescheduleDate","rescheduleGameDate","status.abstractGameState","status.codedGameState","status.detailedState","status.statusCode","status.startTimeTBD","status.abstractGameCode","status.reason","teams.away.score","teams.away.isWinner","teams.away.splitSquad","teams.away.seriesNumber","teams.away.leagueRecord.wins","teams.away.leagueRecord.losses","teams.away.leagueRecord.pct","teams.away.team.id","teams.away.team.name","teams.away.team.link","teams.home.score","teams.home.isWinner","teams.home.splitSquad","teams.home.seriesNumber","teams.home.leagueRecord.wins","teams.home.leagueRecord.losses","teams.home.leagueRecord.pct","teams.home.team.id","teams.home.team.name","teams.home.team.link","venue.id","venue.name","venue.link","content.link","rescheduledFrom","rescheduledFromDate","description","resumeDate","resumeGameDate","resumedFrom","resumedFromDate"
"1182",643227,"/api/v1.1/game/643227/feed/live","R","2021","2021-07-30T21:05:00Z","2021-07-30",FALSE,1,TRUE,"Y","Y","N","44-643227-2021-07-30","2021","night",7,FALSE,NA,6,3,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"F",NA,4,TRUE,FALSE,13,30,43,".411",453,"Brooklyn Cyclones","/api/v1/teams/453",0,FALSE,FALSE,13,33,42,".440",427,"Jersey Shore BlueClaws","/api/v1/teams/427",2866,"FirstEnergy Park","/api/v1/venues/2866","/api/v1/game/643227/content",NA,NA,NA,NA,NA,NA,NA
"1183",643228,"/api/v1.1/game/643228/feed/live","R","2021","2021-07-30T21:10:00Z","2021-07-30",FALSE,2,TRUE,"Y","Y","N","44-643228-2021-07-30","2021","night",7,FALSE,NA,6,4,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",TRUE,"F",NA,0,FALSE,FALSE,13,30,44,".405",453,"Brooklyn Cyclones","/api/v1/teams/453",3,TRUE,FALSE,13,34,42,".447",427,"Jersey Shore BlueClaws","/api/v1/teams/427",2866,"FirstEnergy Park","/api/v1/venues/2866","/api/v1/game/643228/content","2021-07-29T23:05:00Z","2021-07-29","Makeup of July 29 PPD",NA,NA,NA,NA
"1184",643467,"/api/v1.1/game/643467/feed/live","R","2021","2021-07-30T22:30:00Z","2021-07-30",FALSE,1,TRUE,"N","Y","N","44-643467-2021-07-30","2021","night",9,FALSE,120,6,4,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"F",NA,1,FALSE,FALSE,13,30,46,".395",580,"Winston-Salem Dash","/api/v1/teams/580",9,TRUE,FALSE,13,47,29,".618",477,"Greensboro Grasshoppers","/api/v1/teams/477",2723,"First National Bank Field","/api/v1/venues/2723","/api/v1/game/643467/content",NA,NA,NA,NA,NA,NA,NA
"1185",643320,"/api/v1.1/game/643320/feed/live","R","2021","2021-07-30T23:00:00Z","2021-07-30",FALSE,1,TRUE,"N","Y","N","44-643320-2021-07-30","2021","night",9,FALSE,120,6,4,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"F",NA,9,TRUE,FALSE,13,39,37,".513",428,"Greenville Drive","/api/v1/teams/428",8,FALSE,FALSE,13,33,42,".440",448,"Hickory Crawdads","/api/v1/teams/448",2796,"L.P. Frans Stadium","/api/v1/venues/2796","/api/v1/game/643320/content",NA,NA,NA,NA,NA,NA,NA
"1186",643180,"/api/v1.1/game/643180/feed/live","R","2021","2021-07-30T23:00:00Z","2021-07-30",FALSE,1,TRUE,"N","Y","N","44-643180-2021-07-30","2021","night",9,FALSE,120,6,4,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"F",NA,8,TRUE,FALSE,13,32,42,".432",573,"Asheville Tourists","/api/v1/teams/573",2,FALSE,FALSE,13,36,40,".474",432,"Rome Braves","/api/v1/teams/432",2851,"State Mutual Stadium","/api/v1/venues/2851","/api/v1/game/643180/content",NA,NA,NA,NA,NA,NA,NA
"1187",644336,"/api/v1.1/game/644336/feed/live","R","2021","2021-07-30T23:05:00Z","2021-07-30",FALSE,1,TRUE,"N","Y","N","44-644336-2021-07-30","2021","night",9,FALSE,120,6,4,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"F",NA,8,TRUE,FALSE,13,40,36,".526",437,"Lake County Captains","/api/v1/teams/437",5,FALSE,FALSE,13,41,34,".547",459,"Dayton Dragons","/api/v1/teams/459",2766,"Day Air Ballpark","/api/v1/venues/2766","/api/v1/game/644336/content",NA,NA,NA,NA,NA,NA,NA
"1188",643331,"/api/v1.1/game/643331/feed/live","R","2021","2021-07-30T23:05:00Z","2021-07-30",FALSE,1,TRUE,"N","Y","N","44-643331-2021-07-30","2021","night",9,FALSE,120,6,4,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"F",NA,6,TRUE,FALSE,13,32,44,".421",426,"Wilmington Blue Rocks","/api/v1/teams/426",5,FALSE,FALSE,13,48,28,".632",537,"Hudson Valley Renegades","/api/v1/teams/537",2757,"Dutchess Stadium","/api/v1/venues/2757","/api/v1/game/643331/content",NA,NA,NA,NA,NA,NA,NA
"1189",644253,"/api/v1.1/game/644253/feed/live","R","2021","2021-07-30T23:05:00Z","2021-07-30",FALSE,1,TRUE,"N","Y","N","44-644253-2021-07-30","2021","night",9,FALSE,120,6,4,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"F",NA,4,FALSE,FALSE,13,35,40,".467",582,"West Michigan Whitecaps","/api/v1/teams/582",5,TRUE,FALSE,13,42,34,".553",456,"Great Lakes Loons","/api/v1/teams/456",3189,"Dow Diamond","/api/v1/venues/3189","/api/v1/game/644253/content",NA,NA,NA,NA,NA,NA,NA
"1190",644074,"/api/v1.1/game/644074/feed/live","R","2021","2021-07-30T23:05:00Z","2021-07-30",FALSE,1,TRUE,"N","Y","N","44-644074-2021-07-30","2021","night",9,FALSE,120,6,4,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"F",NA,6,FALSE,FALSE,13,35,41,".461",584,"Fort Wayne TinCaps","/api/v1/teams/584",9,TRUE,FALSE,13,36,40,".474",499,"Lansing Lugnuts","/api/v1/teams/499",2822,"Jackson Field","/api/v1/venues/2822","/api/v1/game/644074/content",NA,NA,NA,NA,NA,NA,NA
"1191",643719,"/api/v1.1/game/643719/feed/live","R","2021","2021-07-30T23:05:00Z","2021-07-30",FALSE,1,TRUE,"N","Y","N","44-643719-2021-07-30","2021","night",9,FALSE,120,6,4,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"F",NA,10,TRUE,FALSE,13,54,22,".711",2498,"Bowling Green Hot Rods","/api/v1/teams/2498",9,FALSE,FALSE,13,38,37,".507",488,"Aberdeen IronBirds","/api/v1/teams/488",2837,"Leidos Field at Ripken Stadium","/api/v1/venues/2837","/api/v1/game/643719/content",NA,NA,NA,NA,NA,NA,NA
