"","game_pk","link","gameType","season","gameDate","officialDate","isTie","gameNumber","publicFacing","doubleHeader","gamedayType","tiebreaker","calendarEventID","seasonDisplay","dayNight","scheduledInnings","reverseHomeAwayStatus","inningBreakLength","gamesInSeries","seriesGameNumber","seriesDescription","recordSource","ifNecessary","ifNecessaryDescription","status.abstractGameState","status.codedGameState","status.detailedState","status.statusCode","status.startTimeTBD","status.abstractGameCode","teams.away.score","teams.away.isWinner","teams.away.splitSquad","teams.away.seriesNumber","teams.away.leagueRecord.wins","teams.away.leagueRecord.losses","teams.away.leagueRecord.pct","teams.away.team.id","teams.away.team.name","teams.away.team.link","teams.home.score","teams.home.isWinner","teams.home.splitSquad","teams.home.seriesNumber","teams.home.leagueRecord.wins","teams.home.leagueRecord.losses","teams.home.leagueRecord.pct","teams.home.team.id","teams.home.team.name","teams.home.team.link","venue.id","venue.name","venue.link","content.link","description","rescheduleDate","rescheduleGameDate","status.reason","rescheduledFrom","rescheduledFromDate","resumeDate","resumeGameDate","resumedFrom","resumedFromDate"
"1072",575882,"/api/v1.1/game/575882/feed/live","R","2019","2019-05-23T15:05:00Z","2019-05-23",FALSE,1,TRUE,"N","Y","N","44-575882-2019-05-23","2019","day",9,FALSE,120,3,3,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",4,TRUE,FALSE,14,19,24,".442",422,"Buffalo Bisons","/api/v1/teams/422",3,FALSE,FALSE,14,16,26,".381",534,"Rochester Red Wings","/api/v1/teams/534",2773,"Frontier Field","/api/v1/venues/2773","/api/v1/game/575882/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1073",575456,"/api/v1.1/game/575456/feed/live","R","2019","2019-05-23T15:35:00Z","2019-05-23",FALSE,1,TRUE,"N","Y","N","44-575456-2019-05-23","2019","day",9,FALSE,120,3,3,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",2,FALSE,FALSE,14,16,27,".372",512,"Toledo Mud Hens","/api/v1/teams/512",7,TRUE,FALSE,14,26,18,".591",445,"Columbus Clippers","/api/v1/teams/445",3970,"Huntington Park","/api/v1/venues/3970","/api/v1/game/575456/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1074",576024,"/api/v1.1/game/576024/feed/live","R","2019","2019-05-23T16:05:00Z","2019-05-23",FALSE,1,TRUE,"N","Y","N","44-576024-2019-05-23","2019","day",9,FALSE,120,3,3,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",9,TRUE,FALSE,14,28,17,".622",234,"Durham Bulls","/api/v1/teams/234",5,FALSE,FALSE,14,20,25,".444",568,"Norfolk Tides","/api/v1/teams/568",2781,"Harbor Park","/api/v1/venues/2781","/api/v1/game/576024/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1075",575247,"/api/v1.1/game/575247/feed/live","R","2019","2019-05-23T23:00:00Z","2019-05-23",FALSE,1,TRUE,"N","Y","N","44-575247-2019-05-23","2019","night",9,FALSE,120,3,3,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",8,TRUE,FALSE,14,25,18,".581",484,"Indianapolis Indians","/api/v1/teams/484",7,FALSE,FALSE,14,18,28,".391",416,"Louisville Bats","/api/v1/teams/416",2724,"Louisville Slugger Field","/api/v1/venues/2724","/api/v1/game/575247/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1076",575389,"/api/v1.1/game/575389/feed/live","R","2019","2019-05-23T23:05:00Z","2019-05-23",FALSE,1,TRUE,"N","Y","N","44-575389-2019-05-23","2019","night",9,FALSE,120,3,3,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",3,TRUE,FALSE,14,26,19,".578",494,"Charlotte Knights","/api/v1/teams/494",1,FALSE,FALSE,14,27,19,".587",431,"Gwinnett Stripers","/api/v1/teams/431",3810,"Coolray Field","/api/v1/venues/3810","/api/v1/game/575389/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1077",576095,"/api/v1.1/game/576095/feed/live","R","2019","2019-05-23T23:05:00Z","2019-05-23",FALSE,1,TRUE,"N","Y","N","44-576095-2019-05-23","2019","night",9,FALSE,120,3,3,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",5,FALSE,FALSE,14,24,21,".533",552,"Syracuse Mets","/api/v1/teams/552",6,TRUE,FALSE,14,24,19,".558",1410,"Lehigh Valley IronPigs","/api/v1/teams/1410",3230,"Coca-Cola Park","/api/v1/venues/3230","/api/v1/game/576095/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1078",579999,"/api/v1.1/game/579999/feed/live","R","2019","2019-05-23T23:35:00Z","2019-05-23",FALSE,1,TRUE,"N","Y","N","44-579999-2019-05-23","2019","night",9,FALSE,120,4,3,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",3,TRUE,FALSE,12,29,19,".604",451,"Iowa Cubs","/api/v1/teams/451",2,FALSE,FALSE,12,20,27,".426",541,"Omaha Storm Chasers","/api/v1/teams/541",4271,"Werner Park","/api/v1/venues/4271","/api/v1/game/579999/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1079",579789,"/api/v1.1/game/579789/feed/live","R","2019","2019-05-23T23:35:00Z","2019-05-23",FALSE,1,TRUE,"N","Y","N","44-579789-2019-05-23","2019","night",9,FALSE,120,4,3,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",5,FALSE,FALSE,12,23,24,".489",235,"Memphis Redbirds","/api/v1/teams/235",8,TRUE,FALSE,12,18,30,".375",556,"Nashville Sounds","/api/v1/teams/556",4715,"First Tennessee Park","/api/v1/venues/4715","/api/v1/game/579789/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1080",579863,"/api/v1.1/game/579863/feed/live","R","2019","2019-05-24T00:00:00Z","2019-05-23",FALSE,1,TRUE,"N","Y","N","44-579863-2019-05-23","2019","night",9,FALSE,120,4,3,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",4,FALSE,FALSE,12,17,29,".370",238,"Oklahoma City Dodgers","/api/v1/teams/238",12,TRUE,FALSE,11,26,22,".542",588,"New Orleans Baby Cakes","/api/v1/teams/588",2865,"Shrine on Airline","/api/v1/venues/2865","/api/v1/game/579863/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1081",580141,"/api/v1.1/game/580141/feed/live","R","2019","2019-05-24T00:05:00Z","2019-05-23",FALSE,1,TRUE,"N","Y","N","44-580141-2019-05-23","2019","night",9,FALSE,120,4,3,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",11,TRUE,FALSE,11,28,19,".596",510,"San Antonio Missions","/api/v1/teams/510",6,FALSE,FALSE,12,28,19,".596",102,"Round Rock Express","/api/v1/teams/102",2528,"Dell Diamond","/api/v1/venues/2528","/api/v1/game/580141/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
