"","game_pk","link","gameType","season","gameDate","officialDate","isTie","gameNumber","publicFacing","doubleHeader","gamedayType","tiebreaker","calendarEventID","seasonDisplay","dayNight","scheduledInnings","reverseHomeAwayStatus","inningBreakLength","gamesInSeries","seriesGameNumber","seriesDescription","recordSource","ifNecessary","ifNecessaryDescription","status.abstractGameState","status.codedGameState","status.detailedState","status.statusCode","status.startTimeTBD","status.abstractGameCode","teams.away.score","teams.away.isWinner","teams.away.splitSquad","teams.away.seriesNumber","teams.away.leagueRecord.wins","teams.away.leagueRecord.losses","teams.away.leagueRecord.pct","teams.away.team.id","teams.away.team.name","teams.away.team.link","teams.home.score","teams.home.isWinner","teams.home.splitSquad","teams.home.seriesNumber","teams.home.leagueRecord.wins","teams.home.leagueRecord.losses","teams.home.leagueRecord.pct","teams.home.team.id","teams.home.team.name","teams.home.team.link","venue.id","venue.name","venue.link","content.link","resumeDate","resumeGameDate","rescheduleDate","rescheduleGameDate","status.reason","resumedFrom","resumedFromDate","rescheduledFrom","rescheduledFromDate","description"
"470",578529,"/api/v1.1/game/578529/feed/live","R","2019","2019-07-26T23:05:00Z","2019-07-26",FALSE,1,TRUE,"N","Y","N","44-578529-2019-07-26","2019","night",9,FALSE,120,3,1,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",5,TRUE,FALSE,15,13,27,".325",449,"Williamsport Crosscutters","/api/v1/teams/449",3,FALSE,FALSE,15,24,17,".585",511,"Batavia Muckdogs","/api/v1/teams/511",2758,"Dwyer Stadium","/api/v1/venues/2758","/api/v1/game/578529/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"471",578458,"/api/v1.1/game/578458/feed/live","R","2019","2019-07-26T23:05:00Z","2019-07-26",FALSE,1,TRUE,"N","Y","N","44-578458-2019-07-26","2019","night",9,FALSE,120,3,1,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",3,TRUE,FALSE,15,23,16,".590",537,"Hudson Valley Renegades","/api/v1/teams/537",2,FALSE,FALSE,15,24,17,".585",488,"Aberdeen IronBirds","/api/v1/teams/488",2837,"Leidos Field at Ripken Stadium","/api/v1/venues/2837","/api/v1/game/578458/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"472",578757,"/api/v1.1/game/578757/feed/live","R","2019","2019-07-26T23:05:00Z","2019-07-26",FALSE,1,TRUE,"N","Y","N","44-578757-2019-07-26","2019","night",9,FALSE,120,3,1,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",1,FALSE,FALSE,15,21,18,".538",5020,"West Virginia Black Bears","/api/v1/teams/5020",2,TRUE,FALSE,15,21,20,".512",1174,"State College Spikes","/api/v1/teams/1174",2912,"Medlar Field at Lubrano Park","/api/v1/venues/2912","/api/v1/game/578757/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"473",578142,"/api/v1.1/game/578142/feed/live","R","2019","2019-07-27T01:15:00Z","2019-07-26",FALSE,1,TRUE,"N","Y","N","44-578142-2019-07-26","2019","night",9,FALSE,120,3,1,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",7,TRUE,FALSE,12,27,15,".643",419,"Hillsboro Hops","/api/v1/teams/419",5,FALSE,FALSE,12,16,26,".381",480,"Boise Hawks","/api/v1/teams/480",2810,"Memorial Stadium","/api/v1/venues/2810","/api/v1/game/578142/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"474",578329,"/api/v1.1/game/578329/feed/live","R","2019","2019-07-27T01:30:00Z","2019-07-26",FALSE,1,TRUE,"N","Y","N","44-578329-2019-07-26","2019","night",9,FALSE,120,3,1,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",6,TRUE,FALSE,13,17,25,".405",435,"Vancouver Canadians","/api/v1/teams/435",3,FALSE,FALSE,13,24,18,".571",486,"Spokane Indians","/api/v1/teams/486",2730,"Avista Stadium","/api/v1/venues/2730","/api/v1/game/578329/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"475",578292,"/api/v1.1/game/578292/feed/live","R","2019","2019-07-27T01:35:00Z","2019-07-26",FALSE,1,TRUE,"N","Y","N","44-578292-2019-07-26","2019","night",9,FALSE,120,3,1,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",2,FALSE,FALSE,12,18,24,".429",461,"Eugene Emeralds","/api/v1/teams/461",3,TRUE,FALSE,12,28,14,".667",578,"Salem-Keizer Volcanoes","/api/v1/teams/578",2859,"Volcanoes Stadium","/api/v1/venues/2859","/api/v1/game/578292/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"476",578212,"/api/v1.1/game/578212/feed/live","R","2019","2019-07-27T02:05:00Z","2019-07-26",FALSE,1,TRUE,"N","Y","N","44-578212-2019-07-26","2019","night",9,FALSE,120,3,1,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",4,FALSE,FALSE,13,17,25,".405",460,"Tri-City Dust Devils","/api/v1/teams/460",5,TRUE,FALSE,13,21,21,".500",403,"Everett AquaSox","/api/v1/teams/403",2762,"Funko Field","/api/v1/venues/2762","/api/v1/game/578212/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"477",578874,"/api/v1.1/game/578874/feed/live","R","2019","2019-07-27T22:05:00Z","2019-07-27",FALSE,1,TRUE,"N","Y","N","44-578874-2019-07-27","2019","night",9,FALSE,120,3,2,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",5,TRUE,FALSE,15,24,16,".600",453,"Brooklyn Cyclones","/api/v1/teams/453",1,FALSE,FALSE,15,16,26,".381",462,"Vermont Lake Monsters","/api/v1/teams/462",2744,"Centennial Field","/api/v1/venues/2744","/api/v1/game/578874/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"478",578459,"/api/v1.1/game/578459/feed/live","R","2019","2019-07-27T22:05:00Z","2019-07-27",FALSE,1,TRUE,"N","Y","N","44-578459-2019-07-27","2019","night",9,FALSE,120,3,2,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",2,FALSE,FALSE,15,23,17,".575",537,"Hudson Valley Renegades","/api/v1/teams/537",5,TRUE,FALSE,15,25,17,".595",488,"Aberdeen IronBirds","/api/v1/teams/488",2837,"Leidos Field at Ripken Stadium","/api/v1/venues/2837","/api/v1/game/578459/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"479",578493,"/api/v1.1/game/578493/feed/live","R","2019","2019-07-27T23:00:00Z","2019-07-27",FALSE,1,TRUE,"N","Y","N","44-578493-2019-07-27","2019","night",9,FALSE,120,3,2,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",4,TRUE,FALSE,15,22,20,".524",545,"Mahoning Valley Scrappers","/api/v1/teams/545",3,FALSE,FALSE,15,16,25,".390",458,"Auburn Doubledays","/api/v1/teams/458",2763,"Falcon Park","/api/v1/venues/2763","/api/v1/game/578493/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
