"","game_pk","link","gameType","season","gameDate","officialDate","isTie","gameNumber","publicFacing","doubleHeader","gamedayType","tiebreaker","calendarEventID","seasonDisplay","dayNight","scheduledInnings","reverseHomeAwayStatus","inningBreakLength","gamesInSeries","seriesGameNumber","seriesDescription","recordSource","ifNecessary","ifNecessaryDescription","rescheduleDate","rescheduleGameDate","status.abstractGameState","status.codedGameState","status.detailedState","status.statusCode","status.startTimeTBD","status.abstractGameCode","status.reason","teams.away.score","teams.away.isWinner","teams.away.splitSquad","teams.away.seriesNumber","teams.away.leagueRecord.wins","teams.away.leagueRecord.losses","teams.away.leagueRecord.pct","teams.away.team.id","teams.away.team.name","teams.away.team.link","teams.home.score","teams.home.isWinner","teams.home.splitSquad","teams.home.seriesNumber","teams.home.leagueRecord.wins","teams.home.leagueRecord.losses","teams.home.leagueRecord.pct","teams.home.team.id","teams.home.team.name","teams.home.team.link","venue.id","venue.name","venue.link","content.link","rescheduledFrom","rescheduledFromDate","description","resumeDate","resumeGameDate","resumedFrom","resumedFromDate"
"1",646533,"/api/v1.1/game/646533/feed/live","R","2021","2021-05-04T22:00:00Z","2021-05-04",FALSE,1,TRUE,"N","Y","N","44-646533-2021-05-04","2021","night",9,FALSE,120,5,1,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"F",NA,2,TRUE,FALSE,1,1,0,"1.000",418,"Bowie Baysox","/api/v1/teams/418",1,FALSE,FALSE,1,0,1,".000",452,"Altoona Curve","/api/v1/teams/452",2733,"Peoples Natural Gas Field","/api/v1/venues/2733","/api/v1/game/646533/content",NA,NA,NA,NA,NA,NA,NA
"2",645659,"/api/v1.1/game/645659/feed/live","R","2021","2021-05-04T22:00:00Z","2021-05-04",FALSE,1,TRUE,"N","Y","N","44-645659-2021-05-04","2021","night",9,FALSE,120,6,1,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"F",NA,11,TRUE,FALSE,1,1,0,"1.000",463,"New Hampshire Fisher Cats","/api/v1/teams/463",2,FALSE,FALSE,1,0,1,".000",546,"Portland Sea Dogs","/api/v1/teams/546",2779,"Hadlock Field","/api/v1/venues/2779","/api/v1/game/645659/content",NA,NA,NA,NA,NA,NA,NA
"3",645507,"/api/v1.1/game/645507/feed/live","R","2021","2021-05-04T22:35:00Z","2021-05-04",FALSE,1,TRUE,"N","Y","N","44-645507-2021-05-04","2021","night",9,FALSE,120,6,1,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"F",NA,6,TRUE,FALSE,1,1,0,"1.000",538,"Hartford Yard Goats","/api/v1/teams/538",3,FALSE,FALSE,1,0,1,".000",3410,"Richmond Flying Squirrels","/api/v1/teams/3410",2853,"The Diamond","/api/v1/venues/2853","/api/v1/game/645507/content",NA,NA,NA,NA,NA,NA,NA
"4",646695,"/api/v1.1/game/646695/feed/live","R","2021","2021-05-04T23:05:00Z","2021-05-04",FALSE,1,TRUE,"N","Y","N","44-646695-2021-05-04","2021","night",9,FALSE,120,5,1,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"F",NA,4,FALSE,FALSE,1,0,1,".000",505,"Binghamton Rumble Ponies","/api/v1/teams/505",5,TRUE,FALSE,1,1,0,"1.000",402,"Akron RubberDucks","/api/v1/teams/402",2740,"Canal Park","/api/v1/venues/2740","/api/v1/game/646695/content",NA,NA,NA,NA,NA,NA,NA
"5",645605,"/api/v1.1/game/645605/feed/live","R","2021","2021-05-04T23:05:00Z","2021-05-04",FALSE,1,TRUE,"N","Y","N","44-645605-2021-05-04","2021","night",9,FALSE,120,6,1,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"F",NA,12,TRUE,FALSE,1,1,0,"1.000",106,"Erie SeaWolves","/api/v1/teams/106",4,FALSE,FALSE,1,0,1,".000",522,"Reading Fightin Phils","/api/v1/teams/522",2769,"FirstEnergy Stadium","/api/v1/venues/2769","/api/v1/game/645605/content",NA,NA,NA,NA,NA,NA,NA
"6",645343,"/api/v1.1/game/645343/feed/live","R","2021","2021-05-04T23:05:00Z","2021-05-04",FALSE,1,TRUE,"N","Y","N","44-645343-2021-05-04","2021","night",9,FALSE,120,6,1,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"F",NA,0,FALSE,FALSE,1,0,1,".000",547,"Harrisburg Senators","/api/v1/teams/547",6,TRUE,FALSE,1,1,0,"1.000",1956,"Somerset Patriots","/api/v1/teams/1956",5418,"TD Bank Ballpark","/api/v1/venues/5418","/api/v1/game/645343/content",NA,NA,NA,NA,NA,NA,NA
"7",647581,"/api/v1.1/game/647581/feed/live","R","2021","2021-05-04T23:35:00Z","2021-05-04",FALSE,1,TRUE,"N","Y","N","44-647581-2021-05-04","2021","night",9,FALSE,120,6,1,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"F",NA,8,TRUE,FALSE,1,1,0,"1.000",510,"San Antonio Missions","/api/v1/teams/510",3,FALSE,FALSE,1,0,1,".000",482,"Corpus Christi Hooks","/api/v1/teams/482",2861,"Whataburger Field","/api/v1/venues/2861","/api/v1/game/647581/content",NA,NA,NA,NA,NA,NA,NA
"8",646976,"/api/v1.1/game/646976/feed/live","R","2021","2021-05-04T23:35:00Z","2021-05-04",FALSE,1,TRUE,"N","Y","N","44-646976-2021-05-04","2021","night",9,FALSE,120,6,1,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"F",NA,2,TRUE,FALSE,1,1,0,"1.000",3898,"Wichita Wind Surge","/api/v1/teams/3898",0,FALSE,FALSE,1,0,1,".000",440,"Springfield Cardinals","/api/v1/teams/440",2722,"Hammons Field","/api/v1/venues/2722","/api/v1/game/646976/content",NA,NA,NA,NA,NA,NA,NA
"9",647456,"/api/v1.1/game/647456/feed/live","R","2021","2021-05-05T00:05:00Z","2021-05-04",FALSE,1,TRUE,"N","N","N","44-647456-2021-05-04","2021","night",9,FALSE,120,6,1,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"F",NA,2,FALSE,FALSE,1,0,1,".000",237,"Midland RockHounds","/api/v1/teams/237",5,TRUE,FALSE,1,1,0,"1.000",540,"Frisco RoughRiders","/api/v1/teams/540",2755,"Riders Field","/api/v1/venues/2755","/api/v1/game/647456/content",NA,NA,NA,NA,NA,NA,NA
"10",646852,"/api/v1.1/game/646852/feed/live","R","2021","2021-05-05T00:05:00Z","2021-05-04",FALSE,1,TRUE,"N","Y","N","44-646852-2021-05-04","2021","night",9,FALSE,120,6,1,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"F",NA,4,TRUE,FALSE,1,1,0,"1.000",5368,"Amarillo Sod Poodles","/api/v1/teams/5368",3,FALSE,FALSE,1,0,1,".000",260,"Tulsa Drillers","/api/v1/teams/260",4149,"ONEOK Field","/api/v1/venues/4149","/api/v1/game/646852/content",NA,NA,NA,NA,NA,NA,NA
