"","game_pk","link","gameType","season","gameDate","officialDate","isTie","gameNumber","publicFacing","doubleHeader","gamedayType","tiebreaker","calendarEventID","seasonDisplay","dayNight","scheduledInnings","reverseHomeAwayStatus","inningBreakLength","gamesInSeries","seriesGameNumber","seriesDescription","recordSource","ifNecessary","ifNecessaryDescription","rescheduleDate","rescheduleGameDate","status.abstractGameState","status.codedGameState","status.detailedState","status.statusCode","status.startTimeTBD","status.abstractGameCode","status.reason","teams.away.score","teams.away.isWinner","teams.away.splitSquad","teams.away.seriesNumber","teams.away.leagueRecord.wins","teams.away.leagueRecord.losses","teams.away.leagueRecord.pct","teams.away.team.id","teams.away.team.name","teams.away.team.link","teams.home.score","teams.home.isWinner","teams.home.splitSquad","teams.home.seriesNumber","teams.home.leagueRecord.wins","teams.home.leagueRecord.losses","teams.home.leagueRecord.pct","teams.home.team.id","teams.home.team.name","teams.home.team.link","venue.id","venue.name","venue.link","content.link","rescheduledFrom","rescheduledFromDate","description","resumeDate","resumeGameDate","resumedFrom","resumedFromDate"
"1014",574733,"/api/v1.1/game/574733/feed/live","R","2019","2019-06-11T17:05:00Z","2019-06-11",FALSE,1,TRUE,"Y","Y","N","44-574733-2019-06-11","2019","day",7,FALSE,120,5,4,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"F",NA,3,FALSE,FALSE,13,25,38,".397",247,"Birmingham Barons","/api/v1/teams/247",5,TRUE,FALSE,13,24,37,".393",417,"Mobile BayBears","/api/v1/teams/417",2780,"Hank Aaron Stadium","/api/v1/venues/2780","/api/v1/game/574733/content",NA,NA,NA,NA,NA,NA,NA
"1015",574730,"/api/v1.1/game/574730/feed/live","R","2019","2019-06-11T17:10:00Z","2019-06-11",FALSE,2,TRUE,"Y","Y","N","44-574730-2019-06-11","2019","day",7,FALSE,120,5,5,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",TRUE,"F",NA,4,TRUE,FALSE,13,26,38,".406",247,"Birmingham Barons","/api/v1/teams/247",1,FALSE,FALSE,13,24,38,".387",417,"Mobile BayBears","/api/v1/teams/417",2780,"Hank Aaron Stadium","/api/v1/venues/2780","/api/v1/game/574730/content","2019-06-08T22:05:00Z","2019-06-08","Makeup of 6/8 ppd",NA,NA,NA,NA
"1016",574518,"/api/v1.1/game/574518/feed/live","R","2019","2019-06-11T17:05:00Z","2019-06-11",FALSE,1,TRUE,"Y","Y","N","44-574518-2019-06-11","2019","day",7,FALSE,120,5,4,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"F",NA,1,FALSE,FALSE,13,29,33,".468",430,"Mississippi Braves","/api/v1/teams/430",2,TRUE,FALSE,13,35,29,".547",104,"Jackson Generals","/api/v1/teams/104",2833,"The Ballpark at Jackson","/api/v1/venues/2833","/api/v1/game/574518/content",NA,NA,NA,NA,NA,NA,NA
"1017",574516,"/api/v1.1/game/574516/feed/live","R","2019","2019-06-11T17:10:00Z","2019-06-11",FALSE,2,TRUE,"Y","Y","N","44-574516-2019-06-11","2019","day",7,FALSE,120,5,5,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",TRUE,"F",NA,7,TRUE,FALSE,13,30,33,".476",430,"Mississippi Braves","/api/v1/teams/430",1,FALSE,FALSE,13,35,30,".538",104,"Jackson Generals","/api/v1/teams/104",2833,"The Ballpark at Jackson","/api/v1/venues/2833","/api/v1/game/574516/content","2019-06-09T19:05:00Z","2019-06-09","Makeup of 6/9 PPD",NA,NA,NA,NA
"1018",572170,"/api/v1.1/game/572170/feed/live","R","2019","2019-06-11T21:30:00Z","2019-06-11",FALSE,1,TRUE,"N","Y","N","44-572170-2019-06-11","2019","night",7,FALSE,120,3,1,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"F",NA,5,TRUE,FALSE,20,29,31,".483",106,"Erie SeaWolves","/api/v1/teams/106",3,FALSE,FALSE,20,35,26,".574",522,"Reading Fightin Phils","/api/v1/teams/522",2769,"FirstEnergy Stadium","/api/v1/venues/2769","/api/v1/game/572170/content",NA,NA,NA,NA,NA,NA,NA
"1019",572162,"/api/v1.1/game/572162/feed/live","R","2019","2019-06-11T21:30:00Z","2019-05-30",FALSE,1,TRUE,"N","Y","N","44-572162-2019-06-11","2019","night",9,FALSE,120,3,3,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"F",NA,4,FALSE,FALSE,16,24,26,".480",106,"Erie SeaWolves","/api/v1/teams/106",5,TRUE,FALSE,16,29,20,".592",522,"Reading Fightin Phils","/api/v1/teams/522",2769,"FirstEnergy Stadium","/api/v1/venues/2769","/api/v1/game/572162/content",NA,NA,NA,NA,NA,"2019-05-30T22:45:00Z","2019-05-30"
"1020",571604,"/api/v1.1/game/571604/feed/live","R","2019","2019-06-11T22:30:00Z","2019-06-11",FALSE,1,TRUE,"N","Y","N","44-571604-2019-06-11","2019","night",9,FALSE,120,3,1,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"F",NA,4,FALSE,FALSE,19,21,39,".350",546,"Portland Sea Dogs","/api/v1/teams/546",5,TRUE,FALSE,20,32,30,".516",452,"Altoona Curve","/api/v1/teams/452",2733,"Peoples Natural Gas Field","/api/v1/venues/2733","/api/v1/game/571604/content",NA,NA,NA,NA,NA,NA,NA
"1021",571745,"/api/v1.1/game/571745/feed/live","R","2019","2019-06-11T22:35:00Z","2019-06-11",FALSE,1,TRUE,"N","Y","N","44-571745-2019-06-11","2019","night",9,FALSE,120,3,1,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"F",NA,0,FALSE,FALSE,20,28,33,".459",463,"New Hampshire Fisher Cats","/api/v1/teams/463",6,TRUE,FALSE,20,25,37,".403",418,"Bowie Baysox","/api/v1/teams/418",2832,"Prince George's Stadium","/api/v1/venues/2832","/api/v1/game/571745/content",NA,NA,NA,NA,NA,NA,NA
"1022",571672,"/api/v1.1/game/571672/feed/live","R","2019","2019-06-11T22:35:00Z","2019-06-11",FALSE,1,TRUE,"N","Y","N","44-571672-2019-06-11","2019","night",9,FALSE,120,3,1,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"F",NA,6,FALSE,FALSE,20,34,26,".567",567,"Trenton Thunder","/api/v1/teams/567",7,TRUE,FALSE,19,34,25,".576",505,"Binghamton Rumble Ponies","/api/v1/teams/505",2820,"NYSEG Stadium","/api/v1/venues/2820","/api/v1/game/571672/content",NA,NA,NA,NA,NA,NA,NA
"1023",572237,"/api/v1.1/game/572237/feed/live","R","2019","2019-06-11T22:35:00Z","2019-06-11",FALSE,1,TRUE,"N","Y","N","44-572237-2019-06-11","2019","night",9,FALSE,120,3,1,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"F",NA,6,TRUE,FALSE,20,39,24,".619",547,"Harrisburg Senators","/api/v1/teams/547",2,FALSE,FALSE,20,22,39,".361",3410,"Richmond Flying Squirrels","/api/v1/teams/3410",2853,"The Diamond","/api/v1/venues/2853","/api/v1/game/572237/content",NA,NA,NA,NA,NA,NA,NA
