"","game_pk","link","gameType","season","gameDate","officialDate","isTie","gameNumber","publicFacing","doubleHeader","gamedayType","tiebreaker","calendarEventID","seasonDisplay","dayNight","scheduledInnings","reverseHomeAwayStatus","inningBreakLength","gamesInSeries","seriesGameNumber","seriesDescription","recordSource","ifNecessary","ifNecessaryDescription","status.abstractGameState","status.codedGameState","status.detailedState","status.statusCode","status.startTimeTBD","status.abstractGameCode","status.reason","teams.away.score","teams.away.isWinner","teams.away.splitSquad","teams.away.seriesNumber","teams.away.leagueRecord.wins","teams.away.leagueRecord.losses","teams.away.leagueRecord.pct","teams.away.team.id","teams.away.team.name","teams.away.team.link","teams.home.score","teams.home.isWinner","teams.home.splitSquad","teams.home.seriesNumber","teams.home.leagueRecord.wins","teams.home.leagueRecord.losses","teams.home.leagueRecord.pct","teams.home.team.id","teams.home.team.name","teams.home.team.link","venue.id","venue.name","venue.link","content.link","description","rescheduleDate","rescheduleGameDate","rescheduledFrom","rescheduledFromDate","resumeDate","resumeGameDate","resumedFrom","resumedFromDate"
"1373",567390,"/api/v1.1/game/567390/feed/live","R","2019","2019-06-09T17:10:00Z","2019-06-09",FALSE,1,TRUE,"N","P","N","14-567390-2019-06-09","2019","day",9,FALSE,120,3,3,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",NA,7,TRUE,FALSE,21,36,29,".554",144,"Atlanta Braves","/api/v1/teams/144",6,FALSE,FALSE,21,23,40,".365",146,"Miami Marlins","/api/v1/teams/146",4169,"Marlins Park","/api/v1/venues/4169","/api/v1/game/567390/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1374",565350,"/api/v1.1/game/565350/feed/live","R","2019","2019-06-09T17:10:00Z","2019-06-09",FALSE,1,TRUE,"N","P","N","14-565350-2019-06-09","2019","day",9,FALSE,120,3,3,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",NA,7,TRUE,FALSE,21,40,24,".625",147,"New York Yankees","/api/v1/teams/147",6,FALSE,FALSE,21,33,32,".508",114,"Cleveland Indians","/api/v1/teams/114",5,"Progressive Field","/api/v1/venues/5","/api/v1/game/565350/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1375",565638,"/api/v1.1/game/565638/feed/live","R","2019","2019-06-09T18:10:00Z","2019-06-09",FALSE,1,TRUE,"N","P","N","14-565638-2019-06-09","2019","day",9,FALSE,120,3,3,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",NA,0,FALSE,FALSE,21,20,45,".308",110,"Baltimore Orioles","/api/v1/teams/110",4,TRUE,FALSE,21,45,22,".672",117,"Houston Astros","/api/v1/teams/117",2392,"Minute Maid Park","/api/v1/venues/2392","/api/v1/game/565638/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1376",567586,"/api/v1.1/game/567586/feed/live","R","2019","2019-06-09T18:10:00Z","2019-06-09",FALSE,1,TRUE,"N","P","N","14-567586-2019-06-09","2019","day",9,FALSE,120,3,3,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",NA,2,FALSE,FALSE,21,30,34,".469",134,"Pittsburgh Pirates","/api/v1/teams/134",5,TRUE,FALSE,21,38,28,".576",158,"Milwaukee Brewers","/api/v1/teams/158",32,"Miller Park","/api/v1/venues/32","/api/v1/game/567586/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1377",565735,"/api/v1.1/game/565735/feed/live","R","2019","2019-06-09T18:15:00Z","2019-06-09",FALSE,1,TRUE,"N","P","N","14-565735-2019-06-09","2019","day",9,FALSE,120,3,3,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",NA,5,TRUE,FALSE,21,31,33,".484",145,"Chicago White Sox","/api/v1/teams/145",2,FALSE,FALSE,21,20,45,".308",118,"Kansas City Royals","/api/v1/teams/118",7,"Kauffman Stadium","/api/v1/venues/7","/api/v1/game/565735/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1378",566798,"/api/v1.1/game/566798/feed/live","R","2019","2019-06-09T19:05:00Z","2019-06-09",FALSE,1,TRUE,"N","P","N","14-566798-2019-06-09","2019","day",9,FALSE,120,4,4,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",NA,9,TRUE,FALSE,22,34,33,".507",133,"Oakland Athletics","/api/v1/teams/133",8,FALSE,FALSE,21,34,30,".531",140,"Texas Rangers","/api/v1/teams/140",13,"Globe Life Park in Arlington","/api/v1/venues/13","/api/v1/game/566798/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1379",566501,"/api/v1.1/game/566501/feed/live","R","2019","2019-06-09T20:05:00Z","2019-06-09",FALSE,1,TRUE,"N","P","N","14-566501-2019-06-09","2019","day",9,FALSE,120,3,3,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",NA,1,TRUE,FALSE,21,45,21,".682",119,"Los Angeles Dodgers","/api/v1/teams/119",0,FALSE,FALSE,21,26,38,".406",137,"San Francisco Giants","/api/v1/teams/137",2395,"Oracle Park","/api/v1/venues/2395","/api/v1/game/566501/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1380",564768,"/api/v1.1/game/564768/feed/live","R","2019","2019-06-09T20:07:00Z","2019-06-09",FALSE,1,TRUE,"N","P","N","14-564768-2019-06-09","2019","day",9,FALSE,120,3,3,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",NA,9,TRUE,FALSE,22,28,41,".406",136,"Seattle Mariners","/api/v1/teams/136",3,FALSE,FALSE,22,31,35,".470",108,"Los Angeles Angels","/api/v1/teams/108",1,"Angel Stadium","/api/v1/venues/1","/api/v1/game/564768/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1381",566312,"/api/v1.1/game/566312/feed/live","R","2019","2019-06-09T20:10:00Z","2019-06-09",FALSE,1,TRUE,"N","P","N","14-566312-2019-06-09","2019","day",9,FALSE,120,4,4,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",NA,5,TRUE,FALSE,21,30,35,".462",120,"Washington Nationals","/api/v1/teams/120",2,FALSE,FALSE,21,33,33,".500",135,"San Diego Padres","/api/v1/teams/135",2680,"Petco Park","/api/v1/venues/2680","/api/v1/game/566312/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1382",565158,"/api/v1.1/game/565158/feed/live","R","2019","2019-06-09T23:05:00Z","2019-06-09",FALSE,1,TRUE,"N","P","N","14-565158-2019-06-09","2019","night",9,FALSE,145,3,3,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",NA,1,FALSE,FALSE,21,31,32,".492",138,"St. Louis Cardinals","/api/v1/teams/138",5,TRUE,FALSE,22,37,27,".578",112,"Chicago Cubs","/api/v1/teams/112",17,"Wrigley Field","/api/v1/venues/17","/api/v1/game/565158/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1383",567093,"/api/v1.1/game/567093/feed/live","R","2019","2019-06-10T23:05:00Z","2019-06-10",FALSE,1,TRUE,"N","P","N","14-567093-2019-06-10","2019","night",9,FALSE,120,3,1,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",NA,13,TRUE,FALSE,22,35,32,".522",109,"Arizona Diamondbacks","/api/v1/teams/109",8,FALSE,FALSE,22,37,29,".561",143,"Philadelphia Phillies","/api/v1/teams/143",2681,"Citizens Bank Park","/api/v1/venues/2681","/api/v1/game/567093/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
