"","game_pk","link","gameType","season","gameDate","officialDate","isTie","gameNumber","publicFacing","doubleHeader","gamedayType","tiebreaker","calendarEventID","seasonDisplay","dayNight","scheduledInnings","reverseHomeAwayStatus","gamesInSeries","seriesGameNumber","seriesDescription","recordSource","ifNecessary","ifNecessaryDescription","inningBreakLength","status.abstractGameState","status.codedGameState","status.detailedState","status.statusCode","status.startTimeTBD","status.abstractGameCode","status.reason","teams.away.score","teams.away.isWinner","teams.away.splitSquad","teams.away.seriesNumber","teams.away.leagueRecord.wins","teams.away.leagueRecord.losses","teams.away.leagueRecord.pct","teams.away.team.id","teams.away.team.name","teams.away.team.link","teams.home.score","teams.home.isWinner","teams.home.splitSquad","teams.home.seriesNumber","teams.home.leagueRecord.wins","teams.home.leagueRecord.losses","teams.home.leagueRecord.pct","teams.home.team.id","teams.home.team.name","teams.home.team.link","venue.id","venue.name","venue.link","content.link","description","rescheduleDate","rescheduleGameDate","rescheduledFrom","rescheduledFromDate","resumeDate","resumeGameDate","resumedFrom","resumedFromDate"
"1686",633429,"/api/v1.1/game/633429/feed/live","R","2021","2021-07-03T23:15:00Z","2021-07-03",FALSE,1,TRUE,"N","P","N","14-633429-2021-07-03","2021","night",9,FALSE,4,3,"Regular Season","S","N","Normal Game",145,"Final","F","Final","F",FALSE,"F",NA,3,TRUE,FALSE,27,51,33,".607",117,"Houston Astros","/api/v1/teams/117",2,FALSE,FALSE,27,42,38,".525",114,"Cleveland Indians","/api/v1/teams/114",5,"Progressive Field","/api/v1/venues/5","/api/v1/game/633429/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1687",633430,"/api/v1.1/game/633430/feed/live","R","2021","2021-07-03T23:15:00Z","2021-07-03",FALSE,1,TRUE,"N","P","N","14-633430-2021-07-03","2021","night",9,FALSE,4,3,"Regular Season","S","N","Normal Game",145,"Final","F","Final","F",FALSE,"F",NA,5,TRUE,FALSE,27,52,31,".627",119,"Los Angeles Dodgers","/api/v1/teams/119",3,FALSE,FALSE,27,40,41,".494",120,"Washington Nationals","/api/v1/teams/120",3309,"Nationals Park","/api/v1/venues/3309","/api/v1/game/633430/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1688",633401,"/api/v1.1/game/633401/feed/live","R","2021","2021-07-03T23:15:00Z","2021-07-03",FALSE,1,TRUE,"N","P","N","14-633401-2021-07-03","2021","day",9,FALSE,3,2,"Regular Season","S","N","Normal Game",145,"Final","F","Final","F",FALSE,"F",NA,6,FALSE,FALSE,28,52,32,".619",111,"Boston Red Sox","/api/v1/teams/111",7,TRUE,FALSE,27,49,36,".576",133,"Oakland Athletics","/api/v1/teams/133",10,"Oakland Coliseum","/api/v1/venues/10","/api/v1/game/633401/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1689",633424,"/api/v1.1/game/633424/feed/live","R","2021","2021-07-04T01:10:00Z","2021-07-03",FALSE,1,TRUE,"N","P","N","14-633424-2021-07-03","2021","night",9,FALSE,4,3,"Regular Season","S","N","Normal Game",120,"Final","F","Final","F",FALSE,"F",NA,2,FALSE,FALSE,27,41,43,".488",138,"St. Louis Cardinals","/api/v1/teams/138",3,TRUE,FALSE,27,36,48,".429",115,"Colorado Rockies","/api/v1/teams/115",19,"Coors Field","/api/v1/venues/19","/api/v1/game/633424/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1690",633453,"/api/v1.1/game/633453/feed/live","R","2021","2021-07-04T02:07:00Z","2021-07-03",FALSE,1,TRUE,"N","P","N","14-633453-2021-07-03","2021","night",9,FALSE,3,2,"Regular Season","S","N","Normal Game",120,"Final","F","Final","F",FALSE,"F",NA,1,FALSE,FALSE,27,27,56,".325",110,"Baltimore Orioles","/api/v1/teams/110",4,TRUE,FALSE,28,41,41,".500",108,"Los Angeles Angels","/api/v1/teams/108",1,"Angel Stadium","/api/v1/venues/1","/api/v1/game/633453/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1691",633388,"/api/v1.1/game/633388/feed/live","R","2021","2021-07-04T02:10:00Z","2021-07-03",FALSE,1,TRUE,"N","P","N","14-633388-2021-07-03","2021","night",9,FALSE,4,3,"Regular Season","S","N","Normal Game",120,"Final","F","Final","F",FALSE,"F",NA,6,TRUE,FALSE,27,52,30,".634",137,"San Francisco Giants","/api/v1/teams/137",5,FALSE,FALSE,27,23,62,".271",109,"Arizona Diamondbacks","/api/v1/teams/109",15,"Chase Field","/api/v1/venues/15","/api/v1/game/633388/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1692",633379,"/api/v1.1/game/633379/feed/live","R","2021","2021-07-04T02:10:00Z","2021-07-03",FALSE,1,TRUE,"N","P","N","14-633379-2021-07-03","2021","night",9,FALSE,3,2,"Regular Season","S","N","Normal Game",120,"Final","F","Final","F",FALSE,"F",NA,7,TRUE,FALSE,27,33,50,".398",140,"Texas Rangers","/api/v1/teams/140",3,FALSE,FALSE,27,44,40,".524",136,"Seattle Mariners","/api/v1/teams/136",680,"T-Mobile Park","/api/v1/venues/680","/api/v1/game/633379/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1693",633398,"/api/v1.1/game/633398/feed/live","R","2021","2021-07-04T15:05:00Z","2021-07-04",FALSE,1,TRUE,"N","P","N","14-633398-2021-07-04","2021","day",9,FALSE,4,4,"Regular Season","S","N","Normal Game",120,"Final","F","Final","F",FALSE,"F",NA,5,TRUE,FALSE,27,53,31,".631",119,"Los Angeles Dodgers","/api/v1/teams/119",1,FALSE,FALSE,27,40,42,".488",120,"Washington Nationals","/api/v1/teams/120",3309,"Nationals Park","/api/v1/venues/3309","/api/v1/game/633398/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1694",633374,"/api/v1.1/game/633374/feed/live","R","2021","2021-07-04T17:05:00Z","2021-07-04",FALSE,1,TRUE,"N","P","N","14-633374-2021-07-04","2021","day",9,FALSE,3,3,"Regular Season","S","N","Normal Game",145,"Final","F","Final","F",FALSE,"F",NA,11,TRUE,FALSE,27,50,36,".581",135,"San Diego Padres","/api/v1/teams/135",1,FALSE,FALSE,28,39,42,".481",143,"Philadelphia Phillies","/api/v1/teams/143",2681,"Citizens Bank Park","/api/v1/venues/2681","/api/v1/game/633374/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1695",633422,"/api/v1.1/game/633422/feed/live","R","2021","2021-07-04T17:05:00Z","2021-07-04",FALSE,1,TRUE,"N","P","N","14-633422-2021-07-04","2021","day",9,FALSE,4,4,"Regular Season","S","N","Normal Game",120,"Final","F","Final","F",FALSE,"F",NA,0,FALSE,FALSE,27,51,34,".600",158,"Milwaukee Brewers","/api/v1/teams/158",2,TRUE,FALSE,27,30,53,".361",134,"Pittsburgh Pirates","/api/v1/teams/134",31,"PNC Park","/api/v1/venues/31","/api/v1/game/633422/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1696",633408,"/api/v1.1/game/633408/feed/live","R","2021","2021-07-04T17:07:00Z","2021-07-04",FALSE,1,TRUE,"N","P","N","14-633408-2021-07-04","2021","day",9,FALSE,3,3,"Regular Season","S","N","Normal Game",NA,"Final","F","Final","F",FALSE,"F",NA,5,TRUE,FALSE,27,48,36,".571",139,"Tampa Bay Rays","/api/v1/teams/139",1,FALSE,FALSE,27,43,39,".524",141,"Toronto Blue Jays","/api/v1/teams/141",2756,"Sahlen Field","/api/v1/venues/2756","/api/v1/game/633408/content","in Buffalo, NY",NA,NA,NA,NA,NA,NA,NA,NA
"1697",633428,"/api/v1.1/game/633428/feed/live","R","2021","2021-07-04T17:10:00Z","2021-07-04",FALSE,1,TRUE,"N","P","N","14-633428-2021-07-04","2021","day",9,FALSE,3,3,"Regular Season","S","N","Normal Game",120,"Final","F","Final","F",FALSE,"F",NA,2,FALSE,FALSE,27,42,42,".500",112,"Chicago Cubs","/api/v1/teams/112",3,TRUE,FALSE,28,43,40,".518",113,"Cincinnati Reds","/api/v1/teams/113",2602,"Great American Ball Park","/api/v1/venues/2602","/api/v1/game/633428/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1698",633414,"/api/v1.1/game/633414/feed/live","R","2021","2021-07-04T17:10:00Z","2021-07-04",FALSE,1,TRUE,"N","P","N","14-633414-2021-07-04","2021","day",9,FALSE,4,4,"Regular Season","S","N","Normal Game",120,"Final","F","Final","F",FALSE,"F",NA,4,TRUE,FALSE,27,52,33,".612",117,"Houston Astros","/api/v1/teams/117",3,FALSE,FALSE,27,42,39,".519",114,"Cleveland Indians","/api/v1/teams/114",5,"Progressive Field","/api/v1/venues/5","/api/v1/game/633414/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1699",633410,"/api/v1.1/game/633410/feed/live","R","2021","2021-07-04T17:10:00Z","2021-07-04",FALSE,1,TRUE,"N","P","N","14-633410-2021-07-04","2021","day",9,FALSE,3,3,"Regular Season","S","N","Normal Game",120,"Final","F","Final","F",FALSE,"F",NA,5,FALSE,FALSE,27,49,34,".590",145,"Chicago White Sox","/api/v1/teams/145",6,TRUE,FALSE,27,38,46,".452",116,"Detroit Tigers","/api/v1/teams/116",2394,"Comerica Park","/api/v1/venues/2394","/api/v1/game/633410/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1700",633423,"/api/v1.1/game/633423/feed/live","R","2021","2021-07-04T17:20:00Z","2021-07-04",FALSE,1,TRUE,"N","P","N","14-633423-2021-07-04","2021","day",9,FALSE,3,3,"Regular Season","S","N","Normal Game",120,"Final","F","Final","F",FALSE,"F",NA,7,FALSE,FALSE,28,35,48,".422",146,"Miami Marlins","/api/v1/teams/146",8,TRUE,FALSE,27,41,42,".494",144,"Atlanta Braves","/api/v1/teams/144",4705,"Truist Park","/api/v1/venues/4705","/api/v1/game/633423/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1701",633522,"/api/v1.1/game/633522/feed/live","R","2021","2021-07-04T18:05:00Z","2021-07-04",FALSE,1,TRUE,"S","P","N","14-633522-2021-07-04","2021","day",7,FALSE,3,2,"Regular Season","S","N","Normal Game",145,"Final","F","Final","F",FALSE,"F",NA,10,TRUE,FALSE,27,44,36,".550",121,"New York Mets","/api/v1/teams/121",5,FALSE,FALSE,27,41,41,".500",147,"New York Yankees","/api/v1/teams/147",3313,"Yankee Stadium","/api/v1/venues/3313","/api/v1/game/633522/content","Makeup of 7/2ppd",NA,NA,"2021-07-02T23:05:00Z","2021-07-02",NA,NA,NA,NA
"1702",633417,"/api/v1.1/game/633417/feed/live","R","2021","2021-07-04T23:08:00Z","2021-07-04",FALSE,2,TRUE,"S","P","N","14-633417-2021-07-04","2021","night",7,FALSE,3,3,"Regular Season","S","N","Normal Game",145,"Final","F","Final","F",FALSE,"F",NA,2,FALSE,FALSE,27,44,37,".543",121,"New York Mets","/api/v1/teams/121",4,TRUE,FALSE,27,42,41,".506",147,"New York Yankees","/api/v1/teams/147",3313,"Yankee Stadium","/api/v1/venues/3313","/api/v1/game/633417/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1703",633431,"/api/v1.1/game/633431/feed/live","R","2021","2021-07-04T18:10:00Z","2021-07-04",FALSE,1,TRUE,"N","P","N","14-633431-2021-07-04","2021","day",9,FALSE,3,3,"Regular Season","S","N","Normal Game",120,"Final","F","Final","F",FALSE,"F",NA,6,TRUE,FALSE,28,34,48,".415",142,"Minnesota Twins","/api/v1/teams/142",2,FALSE,FALSE,27,35,48,".422",118,"Kansas City Royals","/api/v1/teams/118",7,"Kauffman Stadium","/api/v1/venues/7","/api/v1/game/633431/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1704",633434,"/api/v1.1/game/633434/feed/live","R","2021","2021-07-04T19:10:00Z","2021-07-04",FALSE,1,TRUE,"N","P","N","14-633434-2021-07-04","2021","day",9,FALSE,4,4,"Regular Season","S","N","Normal Game",120,"Final","F","Final","F",FALSE,"F",NA,2,FALSE,FALSE,27,41,44,".482",138,"St. Louis Cardinals","/api/v1/teams/138",3,TRUE,FALSE,27,37,48,".435",115,"Colorado Rockies","/api/v1/teams/115",19,"Coors Field","/api/v1/venues/19","/api/v1/game/633434/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1705",633391,"/api/v1.1/game/633391/feed/live","R","2021","2021-07-04T20:07:00Z","2021-07-04",FALSE,1,TRUE,"N","P","N","14-633391-2021-07-04","2021","day",9,FALSE,3,3,"Regular Season","S","N","Normal Game",120,"Final","F","Final","F",FALSE,"F",NA,5,FALSE,FALSE,27,27,57,".321",110,"Baltimore Orioles","/api/v1/teams/110",6,TRUE,FALSE,28,42,41,".506",108,"Los Angeles Angels","/api/v1/teams/108",1,"Angel Stadium","/api/v1/venues/1","/api/v1/game/633391/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1706",633399,"/api/v1.1/game/633399/feed/live","R","2021","2021-07-04T20:07:00Z","2021-07-04",FALSE,1,TRUE,"N","P","N","14-633399-2021-07-04","2021","day",9,FALSE,3,3,"Regular Season","S","N","Normal Game",120,"Final","F","Final","F",FALSE,"F",NA,1,TRUE,FALSE,28,53,32,".624",111,"Boston Red Sox","/api/v1/teams/111",0,FALSE,FALSE,27,49,37,".570",133,"Oakland Athletics","/api/v1/teams/133",10,"Oakland Coliseum","/api/v1/venues/10","/api/v1/game/633399/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1707",633425,"/api/v1.1/game/633425/feed/live","R","2021","2021-07-04T20:10:00Z","2021-07-04",FALSE,1,TRUE,"N","P","N","14-633425-2021-07-04","2021","day",9,FALSE,3,3,"Regular Season","S","N","Normal Game",120,"Final","F","Final","F",FALSE,"F",NA,1,FALSE,FALSE,27,33,51,".393",140,"Texas Rangers","/api/v1/teams/140",4,TRUE,FALSE,27,45,40,".529",136,"Seattle Mariners","/api/v1/teams/136",680,"T-Mobile Park","/api/v1/venues/680","/api/v1/game/633425/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1708",633436,"/api/v1.1/game/633436/feed/live","R","2021","2021-07-05T01:10:00Z","2021-07-04",FALSE,1,TRUE,"N","P","N","14-633436-2021-07-04","2021","night",9,FALSE,4,4,"Regular Season","S","N","Normal Game",120,"Final","F","Final","F",FALSE,"F",NA,5,TRUE,FALSE,27,53,30,".639",137,"San Francisco Giants","/api/v1/teams/137",2,FALSE,FALSE,27,23,63,".267",109,"Arizona Diamondbacks","/api/v1/teams/109",15,"Chase Field","/api/v1/venues/15","/api/v1/game/633436/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1709",633380,"/api/v1.1/game/633380/feed/live","R","2021","2021-07-05T22:05:00Z","2021-07-05",FALSE,1,TRUE,"N","P","N","14-633380-2021-07-05","2021","day",9,FALSE,3,1,"Regular Season","S","N","Normal Game",120,"Final","F","Final","F",FALSE,"F",NA,5,TRUE,FALSE,28,42,44,".488",138,"St. Louis Cardinals","/api/v1/teams/138",3,FALSE,FALSE,28,53,31,".631",137,"San Francisco Giants","/api/v1/teams/137",2395,"Oracle Park","/api/v1/venues/2395","/api/v1/game/633380/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1710",633361,"/api/v1.1/game/633361/feed/live","R","2021","2021-07-05T22:40:00Z","2021-07-05",FALSE,1,TRUE,"N","P","N","14-633361-2021-07-05","2021","night",9,FALSE,4,1,"Regular Season","S","N","Normal Game",120,"Final","F","Final","F",FALSE,"F",NA,4,FALSE,FALSE,28,53,32,".624",119,"Los Angeles Dodgers","/api/v1/teams/119",5,TRUE,FALSE,29,36,48,".429",146,"Miami Marlins","/api/v1/teams/146",4169,"loanDepot park","/api/v1/venues/4169","/api/v1/game/633361/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1711",633411,"/api/v1.1/game/633411/feed/live","R","2021","2021-07-05T23:05:00Z","2021-07-05",FALSE,1,TRUE,"N","P","N","14-633411-2021-07-05","2021","night",9,FALSE,3,1,"Regular Season","S","N","Normal Game",120,"Final","F","Final","F",FALSE,"F",NA,1,FALSE,FALSE,28,41,43,".488",144,"Atlanta Braves","/api/v1/teams/144",11,TRUE,FALSE,28,31,53,".369",134,"Pittsburgh Pirates","/api/v1/teams/134",31,"PNC Park","/api/v1/venues/31","/api/v1/game/633411/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1712",633353,"/api/v1.1/game/633353/feed/live","R","2021","2021-07-05T23:10:00Z","2021-07-05",FALSE,1,TRUE,"N","P","N","14-633353-2021-07-05","2021","night",9,FALSE,3,1,"Regular Season","S","N","Normal Game",120,"Final","F","Final","F",FALSE,"F",NA,8,FALSE,FALSE,28,42,40,".512",114,"Cleveland Indians","/api/v1/teams/114",9,TRUE,FALSE,28,49,36,".576",139,"Tampa Bay Rays","/api/v1/teams/139",12,"Tropicana Field","/api/v1/venues/12","/api/v1/game/633353/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1713",633487,"/api/v1.1/game/633487/feed/live","R","2021","2021-07-05T23:10:00Z","2021-07-05",FALSE,1,TRUE,"N","P","N","14-633487-2021-07-05","2021","night",9,FALSE,3,1,"Regular Season","S","N","Normal Game",145,"Final","F","Final","F",FALSE,"F",NA,5,FALSE,FALSE,28,49,35,".583",145,"Chicago White Sox","/api/v1/teams/145",8,TRUE,FALSE,29,35,48,".422",142,"Minnesota Twins","/api/v1/teams/142",3312,"Target Field","/api/v1/venues/3312","/api/v1/game/633487/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1714",633412,"/api/v1.1/game/633412/feed/live","R","2021","2021-07-05T23:10:00Z","2021-07-05",FALSE,1,TRUE,"N","P","N","14-633412-2021-07-05","2021","night",9,FALSE,3,1,"Regular Season","S","N","Normal Game",120,"Final","F","Final","F",FALSE,"F",NA,2,FALSE,FALSE,28,51,35,".593",158,"Milwaukee Brewers","/api/v1/teams/158",4,TRUE,FALSE,28,45,37,".549",121,"New York Mets","/api/v1/teams/121",3289,"Citi Field","/api/v1/venues/3289","/api/v1/game/633412/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1715",633400,"/api/v1.1/game/633400/feed/live","R","2021","2021-07-06T00:05:00Z","2021-07-05",FALSE,1,TRUE,"N","P","N","14-633400-2021-07-05","2021","night",9,FALSE,3,1,"Regular Season","S","N","Normal Game",120,"Final","F","Final","F",FALSE,"F",NA,7,TRUE,FALSE,28,39,46,".459",116,"Detroit Tigers","/api/v1/teams/116",3,FALSE,FALSE,28,33,52,".388",140,"Texas Rangers","/api/v1/teams/140",5325,"Globe Life Field","/api/v1/venues/5325","/api/v1/game/633400/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1716",633386,"/api/v1.1/game/633386/feed/live","R","2021","2021-07-06T00:05:00Z","2021-07-05",FALSE,1,TRUE,"N","P","N","14-633386-2021-07-05","2021","night",9,FALSE,4,1,"Regular Season","S","N","Normal Game",120,"Final","F","Final","F",FALSE,"F",NA,13,TRUE,FALSE,29,40,42,".488",143,"Philadelphia Phillies","/api/v1/teams/143",3,FALSE,FALSE,28,42,43,".494",112,"Chicago Cubs","/api/v1/teams/112",17,"Wrigley Field","/api/v1/venues/17","/api/v1/game/633386/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1717",633363,"/api/v1.1/game/633363/feed/live","R","2021","2021-07-06T00:10:00Z","2021-07-05",FALSE,1,TRUE,"N","P","N","14-633363-2021-07-05","2021","night",9,FALSE,3,1,"Regular Season","S","N","Normal Game",120,"Final","F","Final","F",FALSE,"F",NA,6,TRUE,FALSE,29,44,40,".524",113,"Cincinnati Reds","/api/v1/teams/113",2,FALSE,FALSE,28,35,49,".417",118,"Kansas City Royals","/api/v1/teams/118",7,"Kauffman Stadium","/api/v1/venues/7","/api/v1/game/633363/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
