"","game_pk","link","gameType","season","gameDate","officialDate","isTie","gameNumber","publicFacing","doubleHeader","gamedayType","tiebreaker","calendarEventID","seasonDisplay","dayNight","scheduledInnings","reverseHomeAwayStatus","inningBreakLength","gamesInSeries","seriesGameNumber","seriesDescription","recordSource","ifNecessary","ifNecessaryDescription","description","status.abstractGameState","status.codedGameState","status.detailedState","status.statusCode","status.startTimeTBD","status.abstractGameCode","teams.away.score","teams.away.isWinner","teams.away.splitSquad","teams.away.seriesNumber","teams.away.leagueRecord.wins","teams.away.leagueRecord.losses","teams.away.leagueRecord.pct","teams.away.team.id","teams.away.team.name","teams.away.team.link","teams.home.score","teams.home.isWinner","teams.home.splitSquad","teams.home.seriesNumber","teams.home.leagueRecord.wins","teams.home.leagueRecord.losses","teams.home.leagueRecord.pct","teams.home.team.id","teams.home.team.name","teams.home.team.link","venue.id","venue.name","venue.link","content.link","rescheduleDate","rescheduleGameDate","status.reason","rescheduledFrom","rescheduledFromDate","resumeDate","resumeGameDate","resumedFrom","resumedFromDate"
"1139",572453,"/api/v1.1/game/572453/feed/live","R","2019","2019-06-21T22:30:00Z","2019-06-21",FALSE,1,TRUE,"N","Y","N","44-572453-2019-06-21","2019","night",9,FALSE,120,4,2,"Regular Season","S","N","Normal Game",NA,"Final","F","Final","F",FALSE,"F",10,TRUE,FALSE,22,30,40,".429",570,"Lakeland Flying Tigers","/api/v1/teams/570",3,FALSE,FALSE,22,38,33,".535",2730,"Charlotte Stone Crabs","/api/v1/teams/2730",2534,"Charlotte Sports Park","/api/v1/venues/2534","/api/v1/game/572453/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1140",572383,"/api/v1.1/game/572383/feed/live","R","2019","2019-06-21T22:30:00Z","2019-06-21",FALSE,1,TRUE,"N","Y","N","44-572383-2019-06-21","2019","night",9,FALSE,120,4,2,"Regular Season","S","N","Normal Game",NA,"Final","F","Final","F",FALSE,"F",3,FALSE,FALSE,22,29,41,".414",587,"Tampa Tarpons","/api/v1/teams/587",4,TRUE,FALSE,22,39,32,".549",3390,"Bradenton Marauders","/api/v1/teams/3390",2526,"LECOM Park","/api/v1/venues/2526","/api/v1/game/572383/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1141",581769,"/api/v1.1/game/581769/feed/live","R","2019","2019-06-21T23:00:00Z","2019-06-21",FALSE,1,TRUE,"N","Y","N","44-581769-2019-06-21","2019","night",7,FALSE,120,4,2,"Regular Season","S","N","Normal Game",NA,"Final","F","Final","F",FALSE,"F",4,TRUE,FALSE,21,26,43,".377",414,"Salem Red Sox","/api/v1/teams/414",3,FALSE,FALSE,21,51,21,".708",485,"Down East Wood Ducks","/api/v1/teams/485",2777,"Grainger Stadium","/api/v1/venues/2777","/api/v1/game/581769/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1142",582334,"/api/v1.1/game/582334/feed/live","R","2019","2019-06-21T23:00:00Z","2019-06-21",FALSE,1,TRUE,"N","Y","N","44-582334-2019-06-21","2019","night",9,FALSE,120,4,2,"Regular Season","S","N","Normal Game",NA,"Final","F","Final","F",FALSE,"F",6,TRUE,FALSE,20,33,36,".478",481,"Lynchburg Hillcats","/api/v1/teams/481",3,FALSE,FALSE,20,39,27,".591",580,"Winston-Salem Dash","/api/v1/teams/580",4089,"BB&T Ballpark","/api/v1/venues/4089","/api/v1/game/582334/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1143",582119,"/api/v1.1/game/582119/feed/live","R","2019","2019-06-21T23:05:00Z","2019-06-21",FALSE,1,TRUE,"N","Y","N","44-582119-2019-06-21","2019","night",9,FALSE,120,4,2,"Regular Season","S","N","Normal Game",NA,"Final","F","Final","F",FALSE,"F",6,TRUE,FALSE,20,40,31,".563",249,"Carolina Mudcats","/api/v1/teams/249",2,FALSE,FALSE,20,31,38,".449",436,"Potomac Nationals","/api/v1/teams/436",2774,"Northwest Federal Field","/api/v1/venues/2774","/api/v1/game/582119/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1144",582259,"/api/v1.1/game/582259/feed/live","R","2019","2019-06-21T23:05:00Z","2019-06-21",FALSE,1,TRUE,"N","Y","N","44-582259-2019-06-21","2019","night",9,FALSE,120,4,2,"Regular Season","S","N","Normal Game",NA,"Final","F","Final","F",FALSE,"F",0,FALSE,FALSE,21,29,42,".408",493,"Frederick Keys","/api/v1/teams/493",7,TRUE,FALSE,20,46,25,".648",426,"Wilmington Blue Rocks","/api/v1/teams/426",2793,"Frawley Stadium","/api/v1/venues/2793","/api/v1/game/582259/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1145",582050,"/api/v1.1/game/582050/feed/live","R","2019","2019-06-21T23:05:00Z","2019-06-21",FALSE,1,TRUE,"N","Y","N","44-582050-2019-06-21","2019","night",9,FALSE,120,4,2,"Regular Season","S","N","Normal Game",NA,"Final","F","Final","F",FALSE,"F",5,TRUE,FALSE,20,33,38,".465",3712,"Fayetteville Woodpeckers","/api/v1/teams/3712",4,FALSE,FALSE,21,21,48,".304",521,"Myrtle Beach Pelicans","/api/v1/teams/521",2747,"TicketReturn.com Field","/api/v1/venues/2747","/api/v1/game/582050/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1146",576583,"/api/v1.1/game/576583/feed/live","R","2019","2019-06-22T01:35:00Z","2019-06-21",FALSE,1,TRUE,"N","N","N","44-576583-2019-06-21","2019","night",9,FALSE,120,4,2,"Regular Season","S","N","Normal Game",NA,"Final","F","Final","F",FALSE,"F",7,FALSE,FALSE,21,42,28,".600",526,"Rancho Cucamonga Quakes","/api/v1/teams/526",13,TRUE,FALSE,21,36,34,".514",491,"Lancaster JetHawks","/api/v1/teams/491",2799,"The Hangar","/api/v1/venues/2799","/api/v1/game/576583/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1147",576513,"/api/v1.1/game/576513/feed/live","R","2019","2019-06-22T02:00:00Z","2019-06-21",FALSE,1,TRUE,"N","Y","N","44-576513-2019-06-21","2019","night",9,FALSE,120,4,2,"Regular Season","S","N","Normal Game",NA,"Final","F","Final","F",FALSE,"F",3,FALSE,FALSE,21,26,45,".366",401,"Inland Empire 66ers","/api/v1/teams/401",6,TRUE,FALSE,21,36,34,".514",103,"Lake Elsinore Storm","/api/v1/teams/103",2516,"The Diamond","/api/v1/venues/2516","/api/v1/game/576513/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1148",576933,"/api/v1.1/game/576933/feed/live","R","2019","2019-06-22T02:00:00Z","2019-06-21",FALSE,1,TRUE,"N","Y","N","44-576933-2019-06-21","2019","night",9,FALSE,120,4,2,"Regular Season","S","N","Normal Game",NA,"Final","F","Final","F",FALSE,"F",3,FALSE,FALSE,21,30,42,".417",515,"Modesto Nuts","/api/v1/teams/515",4,TRUE,FALSE,21,46,22,".676",516,"Visalia Rawhide","/api/v1/teams/516",2835,"Recreation Park","/api/v1/venues/2835","/api/v1/game/576933/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
