"","game_pk","link","gameType","season","gameDate","officialDate","isTie","gameNumber","publicFacing","doubleHeader","gamedayType","tiebreaker","calendarEventID","seasonDisplay","dayNight","scheduledInnings","reverseHomeAwayStatus","inningBreakLength","gamesInSeries","seriesGameNumber","seriesDescription","recordSource","ifNecessary","ifNecessaryDescription","description","status.abstractGameState","status.codedGameState","status.detailedState","status.statusCode","status.startTimeTBD","status.abstractGameCode","status.reason","teams.away.score","teams.away.isWinner","teams.away.splitSquad","teams.away.seriesNumber","teams.away.leagueRecord.wins","teams.away.leagueRecord.losses","teams.away.leagueRecord.pct","teams.away.team.id","teams.away.team.name","teams.away.team.link","teams.home.score","teams.home.isWinner","teams.home.splitSquad","teams.home.seriesNumber","teams.home.leagueRecord.wins","teams.home.leagueRecord.losses","teams.home.leagueRecord.pct","teams.home.team.id","teams.home.team.name","teams.home.team.link","venue.id","venue.name","venue.link","content.link","rescheduleDate","rescheduleGameDate","rescheduledFrom","rescheduledFromDate","resumeDate","resumeGameDate","resumedFrom","resumedFromDate"
"1885",577516,"/api/v1.1/game/577516/feed/live","R","2019","2019-08-12T16:05:00Z","2019-08-12",FALSE,1,TRUE,"N","Y","N","44-577516-2019-08-12","2019","day",9,FALSE,120,3,3,"Regular Season","S","N","Normal Game",NA,"Final","F","Final","F",FALSE,"F",NA,4,TRUE,FALSE,36,69,51,".575",2498,"Bowling Green Hot Rods","/api/v1/teams/2498",1,FALSE,FALSE,36,73,44,".624",456,"Great Lakes Loons","/api/v1/teams/456",3189,"Dow Diamond","/api/v1/venues/3189","/api/v1/game/577516/content",NA,NA,NA,NA,NA,NA,NA,NA
"1886",577796,"/api/v1.1/game/577796/feed/live","R","2019","2019-08-12T17:05:00Z","2019-08-12",FALSE,1,TRUE,"N","Y","N","44-577796-2019-08-12","2019","day",9,FALSE,120,3,3,"Regular Season","S","N","Normal Game",NA,"Final","F","Final","F",FALSE,"F",NA,7,TRUE,FALSE,37,63,56,".529",500,"Clinton LumberKings","/api/v1/teams/500",0,FALSE,FALSE,38,44,75,".370",443,"Peoria Chiefs","/api/v1/teams/443",2821,"Dozer Park","/api/v1/venues/2821","/api/v1/game/577796/content",NA,NA,NA,NA,NA,NA,NA,NA
"1887",578077,"/api/v1.1/game/578077/feed/live","R","2019","2019-08-12T17:05:00Z","2019-08-12",FALSE,1,TRUE,"N","Y","N","44-578077-2019-08-12","2019","day",9,FALSE,120,3,3,"Regular Season","S","N","Normal Game",NA,"Final","F","Final","F",FALSE,"F",NA,3,FALSE,FALSE,37,71,45,".612",565,"Quad Cities River Bandits","/api/v1/teams/565",4,TRUE,FALSE,38,58,61,".487",572,"Wisconsin Timber Rattlers","/api/v1/teams/572",2771,"Fox Cities Stadium","/api/v1/venues/2771","/api/v1/game/578077/content",NA,NA,NA,NA,NA,NA,NA,NA
"1888",573983,"/api/v1.1/game/573983/feed/live","R","2019","2019-08-12T23:00:00Z","2019-08-12",FALSE,1,TRUE,"N","Y","N","44-573983-2019-08-12","2019","night",9,FALSE,120,3,1,"Regular Season","S","N","Normal Game",NA,"Final","F","Final","F",FALSE,"F",NA,6,FALSE,FALSE,35,70,48,".593",477,"Greensboro Grasshoppers","/api/v1/teams/477",7,TRUE,FALSE,35,53,65,".449",487,"Kannapolis Intimidators","/api/v1/teams/487",2764,"Intimidators Stadium","/api/v1/venues/2764","/api/v1/game/573983/content",NA,NA,NA,NA,NA,NA,NA,NA
"1889",577380,"/api/v1.1/game/577380/feed/live","R","2019","2019-08-12T23:00:00Z","2019-08-12",FALSE,1,TRUE,"N","Y","N","44-577380-2019-08-12","2019","night",9,FALSE,120,3,3,"Regular Season","S","N","Normal Game",NA,"Final","F","Final","F",FALSE,"F",NA,4,TRUE,FALSE,36,58,61,".487",499,"Lansing Lugnuts","/api/v1/teams/499",3,FALSE,FALSE,36,49,71,".408",459,"Dayton Dragons","/api/v1/teams/459",2766,"Fifth Third Field","/api/v1/venues/2766","/api/v1/game/577380/content",NA,NA,NA,NA,NA,NA,NA,NA
"1890",577653,"/api/v1.1/game/577653/feed/live","R","2019","2019-08-12T23:00:00Z","2019-08-12",FALSE,1,TRUE,"N","Y","N","44-577653-2019-08-12","2019","night",9,FALSE,120,3,3,"Regular Season","S","N","Normal Game",NA,"Final","F","Final","F",FALSE,"F",NA,6,FALSE,FALSE,36,38,81,".319",582,"West Michigan Whitecaps","/api/v1/teams/582",13,TRUE,FALSE,36,66,53,".555",437,"Lake County Captains","/api/v1/teams/437",2759,"Classic Park","/api/v1/venues/2759","/api/v1/game/577653/content",NA,NA,NA,NA,NA,NA,NA,NA
"1891",573421,"/api/v1.1/game/573421/feed/live","R","2019","2019-08-12T23:05:00Z","2019-08-12",FALSE,1,TRUE,"N","Y","N","44-573421-2019-08-12","2019","night",9,FALSE,120,3,1,"Regular Season","S","N","Normal Game",NA,"Final","F","Final","F",FALSE,"F",NA,6,TRUE,FALSE,35,51,68,".429",428,"Greenville Drive","/api/v1/teams/428",5,FALSE,FALSE,35,63,55,".534",478,"Augusta GreenJackets","/api/v1/teams/478",5345,"SRP Park","/api/v1/venues/5345","/api/v1/game/573421/content",NA,NA,NA,NA,NA,NA,NA,NA
"1892",574129,"/api/v1.1/game/574129/feed/live","R","2019","2019-08-12T23:05:00Z","2019-08-12",FALSE,1,TRUE,"N","Y","N","44-574129-2019-08-12","2019","night",9,FALSE,120,3,1,"Regular Season","S","N","Normal Game",NA,"Final","F","Final","F",FALSE,"F",NA,6,FALSE,FALSE,35,69,46,".600",448,"Hickory Crawdads","/api/v1/teams/448",8,TRUE,FALSE,35,58,61,".487",495,"Lexington Legends","/api/v1/teams/495",2727,"Whitaker Bank Ballpark","/api/v1/venues/2727","/api/v1/game/574129/content",NA,NA,NA,NA,NA,NA,NA,NA
"1893",573634,"/api/v1.1/game/573634/feed/live","R","2019","2019-08-12T23:05:00Z","2019-08-12",FALSE,1,TRUE,"N","Y","N","44-573634-2019-08-12","2019","night",9,FALSE,120,3,1,"Regular Season","S","N","Normal Game",NA,"Final","F","Final","F",FALSE,"F",NA,4,TRUE,FALSE,35,62,58,".517",525,"West Virginia Power","/api/v1/teams/525",2,FALSE,FALSE,35,79,39,".669",548,"Delmarva Shorebirds","/api/v1/teams/548",2729,"Arthur W. Perdue Stadium","/api/v1/venues/2729","/api/v1/game/573634/content",NA,NA,NA,NA,NA,NA,NA,NA
"1894",573841,"/api/v1.1/game/573841/feed/live","R","2019","2019-08-12T23:05:00Z","2019-08-12",FALSE,1,TRUE,"N","Y","N","44-573841-2019-08-12","2019","night",9,FALSE,120,3,1,"Regular Season","S","N","Normal Game",NA,"Final","F","Final","F",FALSE,"F",NA,4,FALSE,FALSE,35,49,69,".415",427,"Lakewood BlueClaws","/api/v1/teams/427",5,TRUE,FALSE,35,54,66,".450",563,"Hagerstown Suns","/api/v1/teams/563",2816,"Municipal Stadium","/api/v1/venues/2816","/api/v1/game/573841/content",NA,NA,NA,NA,NA,NA,NA,NA
"1895",573353,"/api/v1.1/game/573353/feed/live","R","2019","2019-08-12T23:05:00Z","2019-08-12",FALSE,1,TRUE,"N","Y","N","44-573353-2019-08-12","2019","night",9,FALSE,120,3,1,"Regular Season","S","N","Normal Game",NA,"Final","F","Final","F",FALSE,"F",NA,6,FALSE,FALSE,35,55,64,".462",432,"Rome Braves","/api/v1/teams/432",11,TRUE,FALSE,35,57,63,".475",573,"Asheville Tourists","/api/v1/teams/573",2807,"McCormick Field","/api/v1/venues/2807","/api/v1/game/573353/content",NA,NA,NA,NA,NA,NA,NA,NA
"1896",577940,"/api/v1.1/game/577940/feed/live","R","2019","2019-08-12T23:05:00Z","2019-08-12",FALSE,1,TRUE,"N","Y","N","44-577940-2019-08-12","2019","night",9,FALSE,120,3,3,"Regular Season","S","N","Normal Game",NA,"Final","F","Final","F",FALSE,"F",NA,3,TRUE,FALSE,36,54,64,".458",584,"Fort Wayne TinCaps","/api/v1/teams/584",1,FALSE,FALSE,36,64,54,".542",550,"South Bend Cubs","/api/v1/teams/550",2850,"Four Winds Field","/api/v1/venues/2850","/api/v1/game/577940/content",NA,NA,NA,NA,NA,NA,NA,NA
"1897",573491,"/api/v1.1/game/573491/feed/live","R","2019","2019-08-12T23:05:00Z","2019-08-12",FALSE,1,TRUE,"N","Y","N","44-573491-2019-08-12","2019","night",9,FALSE,120,3,1,"Regular Season","S","N","Normal Game",NA,"Final","F","Final","F",FALSE,"F",NA,2,FALSE,FALSE,35,47,69,".405",3705,"Columbia Fireflies","/api/v1/teams/3705",3,TRUE,FALSE,35,62,58,".517",233,"Charleston RiverDogs","/api/v1/teams/233",2540,"Joseph P. Riley Jr. Ballpark","/api/v1/venues/2540","/api/v1/game/573491/content",NA,NA,NA,NA,NA,NA,NA,NA
"1898",577169,"/api/v1.1/game/577169/feed/live","R","2019","2019-08-12T23:30:00Z","2019-08-12",FALSE,1,TRUE,"N","Y","N","44-577169-2019-08-12","2019","night",9,FALSE,120,3,3,"Regular Season","S","N","Normal Game",NA,"Final","F","Final","F",FALSE,"F",NA,3,TRUE,FALSE,37,69,50,".580",446,"Kane County Cougars","/api/v1/teams/446",2,FALSE,FALSE,36,57,63,".475",420,"Burlington Bees","/api/v1/teams/420",2750,"Community Field","/api/v1/venues/2750","/api/v1/game/577169/content",NA,NA,NA,NA,NA,NA,NA,NA
"1899",577239,"/api/v1.1/game/577239/feed/live","R","2019","2019-08-12T23:35:00Z","2019-08-12",FALSE,1,TRUE,"N","Y","N","44-577239-2019-08-12","2019","night",9,FALSE,120,3,3,"Regular Season","S","N","Normal Game",NA,"Final","F","Final","F",FALSE,"F",NA,4,TRUE,FALSE,38,49,69,".415",554,"Beloit Snappers","/api/v1/teams/554",3,FALSE,FALSE,37,68,52,".567",492,"Cedar Rapids Kernels","/api/v1/teams/492",2857,"Perfect Game Field","/api/v1/venues/2857","/api/v1/game/577239/content",NA,NA,NA,NA,NA,NA,NA,NA
"1900",573984,"/api/v1.1/game/573984/feed/live","R","2019","2019-08-13T23:00:00Z","2019-08-13",FALSE,1,TRUE,"N","Y","N","44-573984-2019-08-13","2019","night",9,FALSE,120,3,2,"Regular Season","S","N","Normal Game",NA,"Final","F","Final","F",FALSE,"F",NA,2,TRUE,FALSE,35,71,48,".597",477,"Greensboro Grasshoppers","/api/v1/teams/477",0,FALSE,FALSE,35,53,66,".445",487,"Kannapolis Intimidators","/api/v1/teams/487",2764,"Intimidators Stadium","/api/v1/venues/2764","/api/v1/game/573984/content",NA,NA,NA,NA,NA,NA,NA,NA
"1901",573422,"/api/v1.1/game/573422/feed/live","R","2019","2019-08-13T23:05:00Z","2019-08-13",FALSE,1,TRUE,"N","Y","N","44-573422-2019-08-13","2019","night",9,FALSE,120,3,2,"Regular Season","S","N","Normal Game",NA,"Final","F","Final","F",FALSE,"F",NA,1,FALSE,FALSE,35,51,69,".425",428,"Greenville Drive","/api/v1/teams/428",11,TRUE,FALSE,35,64,55,".538",478,"Augusta GreenJackets","/api/v1/teams/478",5345,"SRP Park","/api/v1/venues/5345","/api/v1/game/573422/content",NA,NA,NA,NA,NA,NA,NA,NA
