"","game_pk","link","gameType","season","gameDate","officialDate","isTie","gameNumber","publicFacing","doubleHeader","gamedayType","tiebreaker","calendarEventID","seasonDisplay","dayNight","scheduledInnings","reverseHomeAwayStatus","inningBreakLength","gamesInSeries","seriesGameNumber","seriesDescription","recordSource","ifNecessary","ifNecessaryDescription","description","status.abstractGameState","status.codedGameState","status.detailedState","status.statusCode","status.startTimeTBD","status.abstractGameCode","teams.away.score","teams.away.isWinner","teams.away.splitSquad","teams.away.seriesNumber","teams.away.leagueRecord.wins","teams.away.leagueRecord.losses","teams.away.leagueRecord.pct","teams.away.team.id","teams.away.team.name","teams.away.team.link","teams.home.score","teams.home.isWinner","teams.home.splitSquad","teams.home.seriesNumber","teams.home.leagueRecord.wins","teams.home.leagueRecord.losses","teams.home.leagueRecord.pct","teams.home.team.id","teams.home.team.name","teams.home.team.link","venue.id","venue.name","venue.link","content.link","rescheduleDate","rescheduleGameDate","status.reason","rescheduledFrom","rescheduledFromDate","resumeDate","resumeGameDate","resumedFrom","resumedFromDate"
"1422",646754,"/api/v1.1/game/646754/feed/live","R","2021","2021-08-17T23:05:00Z","2021-08-17",FALSE,1,TRUE,"N","Y","N","44-646754-2021-08-17","2021","night",9,FALSE,120,7,1,"Regular Season","S","N","Normal Game",NA,"Final","F","Final","F",FALSE,"F",4,FALSE,FALSE,16,41,47,".466",1410,"Lehigh Valley IronPigs","/api/v1/teams/1410",8,TRUE,FALSE,16,35,51,".407",534,"Rochester Red Wings","/api/v1/teams/534",2773,"Frontier Field","/api/v1/venues/2773","/api/v1/game/646754/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1423",645391,"/api/v1.1/game/645391/feed/live","R","2021","2021-08-18T00:05:00Z","2021-08-17",FALSE,1,TRUE,"N","Y","N","44-645391-2021-08-17","2021","night",9,FALSE,120,6,6,"Regular Season","S","N","Normal Game",NA,"Final","F","Final","F",FALSE,"F",4,FALSE,FALSE,15,42,47,".472",102,"Round Rock Express","/api/v1/teams/102",5,TRUE,FALSE,15,48,41,".539",238,"Oklahoma City Dodgers","/api/v1/teams/238",2843,"Chickasaw Bricktown Ballpark","/api/v1/venues/2843","/api/v1/game/645391/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1424",646813,"/api/v1.1/game/646813/feed/live","R","2021","2021-08-18T00:05:00Z","2021-08-17",FALSE,1,TRUE,"N","Y","N","44-646813-2021-08-17","2021","night",9,FALSE,120,6,1,"Regular Season","S","N","Normal Game",NA,"Final","F","Final","F",FALSE,"F",7,TRUE,FALSE,16,41,48,".461",445,"Columbus Clippers","/api/v1/teams/445",4,FALSE,FALSE,16,49,40,".551",541,"Omaha Storm Chasers","/api/v1/teams/541",4271,"Werner Park","/api/v1/venues/4271","/api/v1/game/646813/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1425",644700,"/api/v1.1/game/644700/feed/live","R","2021","2021-08-18T00:05:00Z","2021-08-17",FALSE,1,TRUE,"N","Y","N","44-644700-2021-08-17","2021","night",9,FALSE,120,6,6,"Regular Season","S","N","Normal Game",NA,"Final","F","Final","F",FALSE,"F",1,FALSE,FALSE,15,42,48,".467",342,"Albuquerque Isotopes","/api/v1/teams/342",5,TRUE,FALSE,15,50,40,".556",5434,"Sugar Land Skeeters","/api/v1/teams/5434",5421,"Constellation Field","/api/v1/venues/5421","/api/v1/game/644700/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1426",647263,"/api/v1.1/game/647263/feed/live","R","2021","2021-08-18T00:10:00Z","2021-08-17",FALSE,1,TRUE,"N","Y","N","44-647263-2021-08-17","2021","night",9,FALSE,120,6,1,"Regular Season","S","N","Normal Game",NA,"Final","F","Final","F",FALSE,"F",1,FALSE,FALSE,16,50,41,".549",556,"Nashville Sounds","/api/v1/teams/556",5,TRUE,FALSE,16,42,49,".462",235,"Memphis Redbirds","/api/v1/teams/235",2542,"AutoZone Park","/api/v1/venues/2542","/api/v1/game/647263/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1427",646403,"/api/v1.1/game/646403/feed/live","R","2021","2021-08-18T00:42:00Z","2021-08-17",FALSE,1,TRUE,"N","Y","N","44-646403-2021-08-17","2021","night",7,FALSE,NA,6,1,"Regular Season","S","N","Normal Game",NA,"Final","F","Final","F",FALSE,"F",3,FALSE,FALSE,16,39,51,".433",451,"Iowa Cubs","/api/v1/teams/451",4,TRUE,FALSE,16,50,41,".549",1960,"St. Paul Saints","/api/v1/teams/1960",5472,"CHS Field","/api/v1/venues/5472","/api/v1/game/646403/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1428",644565,"/api/v1.1/game/644565/feed/live","R","2021","2021-08-18T02:05:00Z","2021-08-17",FALSE,1,TRUE,"N","Y","N","44-644565-2021-08-17","2021","night",9,FALSE,120,6,6,"Regular Season","S","N","Normal Game",NA,"Final","F","Final","F",FALSE,"F",8,TRUE,FALSE,15,46,44,".511",400,"Las Vegas Aviators","/api/v1/teams/400",4,FALSE,FALSE,15,51,39,".567",529,"Tacoma Rainiers","/api/v1/teams/529",2745,"Cheney Stadium","/api/v1/venues/2745","/api/v1/game/644565/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1429",646353,"/api/v1.1/game/646353/feed/live","R","2021","2021-08-17T22:35:00Z","2021-08-19",NA,1,TRUE,"N","Y","N","44-646353-2021-08-17","2021","night",7,FALSE,NA,6,1,"Regular Season","S","N","Normal Game",NA,"Final","D","Postponed","DR",FALSE,"F",NA,NA,FALSE,16,54,34,".614",422,"Buffalo Bisons","/api/v1/teams/422",NA,NA,FALSE,16,35,54,".393",552,"Syracuse Mets","/api/v1/teams/552",2823,"NBT Bank Stadium","/api/v1/venues/2823","/api/v1/game/646353/content","2021-08-18T07:33:00Z","2021-08-18","Rain",NA,NA,NA,NA,NA,NA
"1430",650179,"/api/v1.1/game/650179/feed/live","R","2021","2021-08-17T23:04:00Z","2021-08-18",NA,1,TRUE,"N","Y","N","44-650179-2021-08-17","2021","night",7,FALSE,NA,6,1,"Regular Season","S","N","Normal Game",NA,"Final","D","Postponed","DI",FALSE,"F",NA,NA,FALSE,16,37,52,".416",568,"Norfolk Tides","/api/v1/teams/568",NA,NA,FALSE,16,33,57,".367",494,"Charlotte Knights","/api/v1/teams/494",4670,"Truist Field","/api/v1/venues/4670","/api/v1/game/650179/content","2021-08-18T21:35:00Z","2021-08-18","Inclement Weather",NA,NA,NA,NA,NA,NA
"1431",644865,"/api/v1.1/game/644865/feed/live","R","2021","2021-08-18T00:35:00Z","2021-08-17",NA,1,TRUE,"N","Y","N","44-644865-2021-08-17","2021","night",9,FALSE,NA,6,6,"Regular Season","S","N","Normal Game",NA,"Final","C","Cancelled","CR",FALSE,"F",NA,NA,FALSE,15,38,51,".427",105,"Sacramento River Cats","/api/v1/teams/105",NA,NA,FALSE,15,42,47,".472",561,"Salt Lake Bees","/api/v1/teams/561",2772,"Smith's Ballpark","/api/v1/venues/2772","/api/v1/game/644865/content",NA,NA,"Rain",NA,NA,NA,NA,NA,NA
