"","game_pk","link","gameType","season","gameDate","officialDate","isTie","gameNumber","publicFacing","doubleHeader","gamedayType","tiebreaker","calendarEventID","seasonDisplay","dayNight","scheduledInnings","reverseHomeAwayStatus","inningBreakLength","gamesInSeries","seriesGameNumber","seriesDescription","recordSource","ifNecessary","ifNecessaryDescription","description","resumeDate","resumeGameDate","rescheduleDate","rescheduleGameDate","status.abstractGameState","status.codedGameState","status.detailedState","status.statusCode","status.startTimeTBD","status.abstractGameCode","status.reason","teams.away.score","teams.away.isWinner","teams.away.splitSquad","teams.away.seriesNumber","teams.away.leagueRecord.wins","teams.away.leagueRecord.losses","teams.away.leagueRecord.pct","teams.away.team.id","teams.away.team.name","teams.away.team.link","teams.home.score","teams.home.isWinner","teams.home.splitSquad","teams.home.seriesNumber","teams.home.leagueRecord.wins","teams.home.leagueRecord.losses","teams.home.leagueRecord.pct","teams.home.team.id","teams.home.team.name","teams.home.team.link","venue.id","venue.name","venue.link","content.link","resumedFrom","resumedFromDate","rescheduledFrom","rescheduledFromDate"
"1388",649248,"/api/v1.1/game/649248/feed/live","R","2021","2021-08-12T23:00:00Z","2021-08-12",FALSE,1,TRUE,"N","Y","N","44-649248-2021-08-12","2021","night",9,FALSE,120,6,3,"Regular Season","S","N","Normal Game",NA,NA,NA,NA,NA,"Final","F","Final","F",FALSE,"F",NA,6,FALSE,FALSE,15,52,35,".598",249,"Carolina Mudcats","/api/v1/teams/249",11,TRUE,FALSE,15,50,37,".575",485,"Down East Wood Ducks","/api/v1/teams/485",2777,"Grainger Stadium","/api/v1/venues/2777","/api/v1/game/649248/content",NA,NA,NA,NA
"1389",649129,"/api/v1.1/game/649129/feed/live","R","2021","2021-08-12T23:05:00Z","2021-08-12",FALSE,1,TRUE,"N","Y","N","44-649129-2021-08-12","2021","night",9,FALSE,120,6,3,"Regular Season","S","N","Normal Game",NA,NA,NA,NA,NA,"Final","F","Final","F",FALSE,"F",NA,1,FALSE,FALSE,15,51,36,".586",414,"Salem Red Sox","/api/v1/teams/414",5,TRUE,FALSE,15,31,56,".356",436,"Fredericksburg Nationals","/api/v1/teams/436",5520,"FredNats Ballpark","/api/v1/venues/5520","/api/v1/game/649129/content",NA,NA,NA,NA
"1390",648690,"/api/v1.1/game/648690/feed/live","R","2021","2021-08-12T23:05:00Z","2021-08-12",FALSE,1,TRUE,"N","Y","N","44-648690-2021-08-12","2021","night",9,FALSE,120,6,3,"Regular Season","S","N","Normal Game",NA,NA,NA,NA,NA,"Final","F","Final","F",FALSE,"F",NA,7,FALSE,FALSE,15,43,42,".506",479,"Jupiter Hammerheads","/api/v1/teams/479",10,TRUE,FALSE,15,43,44,".494",450,"Daytona Tortugas","/api/v1/teams/450",2787,"Jackie Robinson Ballpark","/api/v1/venues/2787","/api/v1/game/648690/content",NA,NA,NA,NA
"1391",649579,"/api/v1.1/game/649579/feed/live","R","2021","2021-08-12T23:05:00Z","2021-08-12",FALSE,1,TRUE,"N","Y","N","44-649579-2021-08-12","2021","night",9,FALSE,120,6,3,"Regular Season","S","N","Normal Game",NA,NA,NA,NA,NA,"Final","F","Final","F",FALSE,"F",NA,4,FALSE,FALSE,15,26,61,".299",487,"Kannapolis Cannon Ballers","/api/v1/teams/487",6,TRUE,FALSE,15,37,50,".425",478,"Augusta GreenJackets","/api/v1/teams/478",5345,"SRP Park","/api/v1/venues/5345","/api/v1/game/649579/content",NA,NA,NA,NA
"1392",648940,"/api/v1.1/game/648940/feed/live","R","2021","2021-08-12T23:05:00Z","2021-08-12",FALSE,1,TRUE,"N","Y","N","44-648940-2021-08-12","2021","night",9,FALSE,120,6,3,"Regular Season","S","N","Normal Game",NA,NA,NA,NA,NA,"Final","F","Final","F",FALSE,"F",NA,8,TRUE,FALSE,15,62,24,".721",233,"Charleston RiverDogs","/api/v1/teams/233",0,FALSE,FALSE,15,43,44,".494",521,"Myrtle Beach Pelicans","/api/v1/teams/521",2747,"TicketReturn.com Field","/api/v1/venues/2747","/api/v1/game/648940/content",NA,NA,NA,NA
"1393",649373,"/api/v1.1/game/649373/feed/live","R","2021","2021-08-12T23:05:00Z","2021-08-12",FALSE,1,TRUE,"N","Y","N","44-649373-2021-08-12","2021","night",9,FALSE,120,6,3,"Regular Season","S","N","Normal Game",NA,NA,NA,NA,NA,"Final","F","Final","F",FALSE,"F",NA,4,FALSE,FALSE,15,37,50,".425",3712,"Fayetteville Woodpeckers","/api/v1/teams/3712",15,TRUE,FALSE,15,41,45,".477",3705,"Columbia Fireflies","/api/v1/teams/3705",4980,"Segra Park","/api/v1/venues/4980","/api/v1/game/649373/content",NA,NA,NA,NA
"1394",647931,"/api/v1.1/game/647931/feed/live","R","2021","2021-08-13T01:30:00Z","2021-08-12",FALSE,1,TRUE,"N","Y","N","44-647931-2021-08-12","2021","night",9,FALSE,120,6,3,"Regular Season","S","N","Normal Game",NA,NA,NA,NA,NA,"Final","F","Final","F",FALSE,"F",NA,10,TRUE,FALSE,15,44,43,".506",515,"Modesto Nuts","/api/v1/teams/515",4,FALSE,FALSE,15,55,32,".632",476,"San Jose Giants","/api/v1/teams/476",2815,"Excite Ballpark","/api/v1/venues/2815","/api/v1/game/647931/content",NA,NA,NA,NA
"1395",648210,"/api/v1.1/game/648210/feed/live","R","2021","2021-08-13T01:50:00Z","2021-08-12",FALSE,1,TRUE,"N","Y","N","44-648210-2021-08-12","2021","night",9,FALSE,120,6,3,"Regular Season","S","N","Normal Game",NA,NA,NA,NA,NA,"Final","F","Final","F",FALSE,"F",NA,2,TRUE,FALSE,15,37,50,".425",524,"Stockton Ports","/api/v1/teams/524",1,FALSE,FALSE,15,58,29,".667",259,"Fresno Grizzlies","/api/v1/teams/259",2640,"Chukchansi Park","/api/v1/venues/2640","/api/v1/game/648210/content",NA,NA,NA,NA
"1396",648089,"/api/v1.1/game/648089/feed/live","R","2021","2021-08-13T02:05:00Z","2021-08-12",FALSE,1,TRUE,"N","Y","N","44-648089-2021-08-12","2021","night",9,FALSE,120,6,3,"Regular Season","S","N","Normal Game",NA,NA,NA,NA,NA,"Final","F","Final","F",FALSE,"F",NA,7,TRUE,FALSE,15,23,64,".264",516,"Visalia Rawhide","/api/v1/teams/516",4,FALSE,FALSE,15,37,49,".430",103,"Lake Elsinore Storm","/api/v1/teams/103",2516,"The Diamond","/api/v1/venues/2516","/api/v1/game/648089/content",NA,NA,NA,NA
"1397",648152,"/api/v1.1/game/648152/feed/live","R","2021","2021-08-13T02:05:00Z","2021-08-12",FALSE,1,TRUE,"N","Y","N","44-648152-2021-08-12","2021","night",9,FALSE,120,7,3,"Regular Season","S","N","Normal Game",NA,NA,NA,NA,NA,"Final","F","Final","F",FALSE,"F",NA,3,FALSE,FALSE,15,48,37,".565",526,"Rancho Cucamonga Quakes","/api/v1/teams/526",13,TRUE,FALSE,15,44,42,".512",401,"Inland Empire 66ers","/api/v1/teams/401",2728,"San Manuel Stadium","/api/v1/venues/2728","/api/v1/game/648152/content",NA,NA,NA,NA
"1398",648302,"/api/v1.1/game/648302/feed/live","R","2021","2021-08-12T20:00:00Z","2021-08-25",NA,1,TRUE,"Y","E","N","44-648302-2021-08-12","2021","night",7,FALSE,NA,6,3,"Regular Season","S","N","Normal Game",NA,NA,NA,"2021-08-25T20:05:00Z","2021-08-25","Final","D","Postponed","DR",FALSE,"F","Rain",NA,NA,FALSE,15,42,50,".457",566,"Clearwater Threshers","/api/v1/teams/566",NA,NA,FALSE,15,64,30,".681",587,"Tampa Tarpons","/api/v1/teams/587",2523,"George M. Steinbrenner Field","/api/v1/venues/2523","/api/v1/game/648302/content",NA,NA,NA,NA
"1399",648876,"/api/v1.1/game/648876/feed/live","R","2021","2021-08-12T22:05:00Z","2021-08-25",NA,1,TRUE,"N","E","N","44-648876-2021-08-12","2021","night",7,FALSE,NA,6,3,"Regular Season","S","N","Normal Game",NA,NA,NA,"2021-08-13T20:05:00Z","2021-08-13","Final","D","Postponed","DR",FALSE,"F","Rain",NA,NA,FALSE,15,47,45,".511",509,"Fort Myers Mighty Mussels","/api/v1/teams/509",NA,NA,FALSE,15,59,35,".628",3390,"Bradenton Marauders","/api/v1/teams/3390",2526,"LECOM Park","/api/v1/venues/2526","/api/v1/game/648876/content",NA,NA,NA,NA
"1400",648289,"/api/v1.1/game/648289/feed/live","R","2021","2021-08-12T07:33:00Z","2021-08-13",NA,2,TRUE,"N","E","N","44-648289-2021-08-12","2021","day",7,FALSE,NA,6,2,"Regular Season","S","N","Normal Game","Makeup of 8/11ppd",NA,NA,"2021-08-13T20:05:00Z","2021-08-13","Final","D","Postponed","DR",TRUE,"F","Rain",NA,NA,FALSE,15,39,44,".470",566,"Clearwater Threshers","/api/v1/teams/566",NA,NA,FALSE,15,58,27,".682",587,"Tampa Tarpons","/api/v1/teams/587",2523,"George M. Steinbrenner Field","/api/v1/venues/2523","/api/v1/game/648289/content",NA,NA,"2021-08-11T22:30:00Z","2021-08-11"
"1401",648642,"/api/v1.1/game/648642/feed/live","R","2021","2021-08-13T20:00:00Z","2021-08-13",FALSE,1,TRUE,"N","E","N","44-648642-2021-08-13","2021","day",9,FALSE,NA,6,4,"Regular Season","S","N","Normal Game",NA,NA,NA,NA,NA,"Final","F","Final","F",FALSE,"F",NA,0,FALSE,FALSE,15,47,38,".553",507,"St. Lucie Mets","/api/v1/teams/507",2,TRUE,FALSE,15,38,49,".437",424,"Dunedin Blue Jays","/api/v1/teams/424",2536,"TD Ballpark","/api/v1/venues/2536","/api/v1/game/648642/content",NA,NA,NA,NA
"1402",648328,"/api/v1.1/game/648328/feed/live","R","2021","2021-08-13T20:00:00Z","2021-08-13",FALSE,1,TRUE,"Y","E","N","44-648328-2021-08-13","2021","night",7,FALSE,NA,5,2,"Regular Season","S","N","Normal Game",NA,NA,NA,NA,NA,"Final","F","Final","F",FALSE,"F",NA,0,FALSE,FALSE,15,39,43,".476",566,"Clearwater Threshers","/api/v1/teams/566",6,TRUE,FALSE,15,57,27,".679",587,"Tampa Tarpons","/api/v1/teams/587",2523,"George M. Steinbrenner Field","/api/v1/venues/2523","/api/v1/game/648328/content",NA,NA,NA,NA
"1403",648289,"/api/v1.1/game/648289/feed/live","R","2021","2021-08-13T20:05:00Z","2021-08-13",FALSE,2,TRUE,"Y","E","N","44-648289-2021-08-13","2021","night",7,FALSE,NA,5,3,"Regular Season","S","N","Normal Game","Makeup of 8/11 PPD",NA,NA,NA,NA,"Final","F","Final","F",TRUE,"F",NA,3,FALSE,FALSE,15,39,44,".470",566,"Clearwater Threshers","/api/v1/teams/566",5,TRUE,FALSE,15,58,27,".682",587,"Tampa Tarpons","/api/v1/teams/587",2523,"George M. Steinbrenner Field","/api/v1/venues/2523","/api/v1/game/648289/content",NA,NA,"2021-08-12T07:33:00Z","2021-08-12"
"1404",648874,"/api/v1.1/game/648874/feed/live","R","2021","2021-08-13T20:00:00Z","2021-08-13",FALSE,1,TRUE,"Y","E","N","44-648874-2021-08-13","2021","night",9,FALSE,NA,5,3,"Regular Season","S","N","Normal Game",NA,NA,NA,NA,NA,"Final","F","Final","F",FALSE,"F",NA,9,TRUE,FALSE,15,44,40,".524",509,"Fort Myers Mighty Mussels","/api/v1/teams/509",1,FALSE,FALSE,15,53,33,".616",3390,"Bradenton Marauders","/api/v1/teams/3390",2526,"LECOM Park","/api/v1/venues/2526","/api/v1/game/648874/content",NA,NA,NA,NA
"1405",648978,"/api/v1.1/game/648978/feed/live","R","2021","2021-08-13T22:30:00Z","2021-08-13",FALSE,1,TRUE,"N","Y","N","44-648978-2021-08-13","2021","night",9,FALSE,120,7,5,"Regular Season","S","N","Normal Game",NA,NA,NA,NA,NA,"Final","F","Final","F",FALSE,"F",NA,7,TRUE,FALSE,15,48,40,".545",548,"Delmarva Shorebirds","/api/v1/teams/548",1,FALSE,FALSE,15,44,44,".500",481,"Lynchburg Hillcats","/api/v1/teams/481",2803,"Bank of the James Stadium","/api/v1/venues/2803","/api/v1/game/648978/content",NA,NA,NA,NA
"1406",648436,"/api/v1.1/game/648436/feed/live","R","2021","2021-08-13T22:30:00Z","2021-08-13",FALSE,1,TRUE,"N","E","N","44-648436-2021-08-13","2021","night",9,FALSE,NA,6,4,"Regular Season","S","N","Normal Game",NA,"2021-08-14T18:00:00Z","2021-08-14",NA,NA,"Final","F","Final","F",FALSE,"F",NA,7,TRUE,FALSE,15,36,51,".414",570,"Lakeland Flying Tigers","/api/v1/teams/570",3,FALSE,FALSE,15,26,59,".306",279,"Palm Beach Cardinals","/api/v1/teams/279",2520,"Roger Dean Chevrolet Stadium","/api/v1/venues/2520","/api/v1/game/648436/content",NA,NA,NA,NA
"1407",649249,"/api/v1.1/game/649249/feed/live","R","2021","2021-08-13T23:00:00Z","2021-08-13",FALSE,1,TRUE,"N","Y","N","44-649249-2021-08-13","2021","night",9,FALSE,120,6,4,"Regular Season","S","N","Normal Game",NA,NA,NA,NA,NA,"Final","F","Final","F",FALSE,"F",NA,11,FALSE,FALSE,15,52,36,".591",249,"Carolina Mudcats","/api/v1/teams/249",12,TRUE,FALSE,15,51,37,".580",485,"Down East Wood Ducks","/api/v1/teams/485",2777,"Grainger Stadium","/api/v1/venues/2777","/api/v1/game/649249/content",NA,NA,NA,NA
"1408",648689,"/api/v1.1/game/648689/feed/live","R","2021","2021-08-13T23:05:00Z","2021-08-13",FALSE,1,TRUE,"N","Y","N","44-648689-2021-08-13","2021","night",9,FALSE,120,6,4,"Regular Season","S","N","Normal Game",NA,NA,NA,NA,NA,"Final","F","Final","F",FALSE,"F",NA,0,FALSE,FALSE,15,43,43,".500",479,"Jupiter Hammerheads","/api/v1/teams/479",3,TRUE,FALSE,15,44,44,".500",450,"Daytona Tortugas","/api/v1/teams/450",2787,"Jackie Robinson Ballpark","/api/v1/venues/2787","/api/v1/game/648689/content",NA,NA,NA,NA
"1409",649580,"/api/v1.1/game/649580/feed/live","R","2021","2021-08-13T23:05:00Z","2021-08-13",FALSE,1,TRUE,"N","Y","N","44-649580-2021-08-13","2021","night",9,FALSE,120,6,4,"Regular Season","S","N","Normal Game",NA,NA,NA,NA,NA,"Final","F","Final","F",FALSE,"F",NA,2,FALSE,FALSE,15,26,62,".295",487,"Kannapolis Cannon Ballers","/api/v1/teams/487",5,TRUE,FALSE,15,38,50,".432",478,"Augusta GreenJackets","/api/v1/teams/478",5345,"SRP Park","/api/v1/venues/5345","/api/v1/game/649580/content",NA,NA,NA,NA
"1410",648929,"/api/v1.1/game/648929/feed/live","R","2021","2021-08-13T23:05:00Z","2021-08-13",FALSE,1,TRUE,"N","Y","N","44-648929-2021-08-13","2021","night",9,FALSE,120,6,4,"Regular Season","S","N","Normal Game",NA,NA,NA,NA,NA,"Final","F","Final","F",FALSE,"F",NA,11,TRUE,FALSE,15,63,24,".724",233,"Charleston RiverDogs","/api/v1/teams/233",4,FALSE,FALSE,15,43,45,".489",521,"Myrtle Beach Pelicans","/api/v1/teams/521",2747,"TicketReturn.com Field","/api/v1/venues/2747","/api/v1/game/648929/content",NA,NA,NA,NA
"1411",649377,"/api/v1.1/game/649377/feed/live","R","2021","2021-08-13T23:05:00Z","2021-08-13",FALSE,1,TRUE,"N","Y","N","44-649377-2021-08-13","2021","night",9,FALSE,120,6,4,"Regular Season","S","N","Normal Game",NA,NA,NA,NA,NA,"Final","F","Final","F",FALSE,"F",NA,5,TRUE,FALSE,15,38,50,".432",3712,"Fayetteville Woodpeckers","/api/v1/teams/3712",3,FALSE,FALSE,15,41,46,".471",3705,"Columbia Fireflies","/api/v1/teams/3705",4980,"Segra Park","/api/v1/venues/4980","/api/v1/game/649377/content",NA,NA,NA,NA
