"","game_pk","link","gameType","season","gameDate","officialDate","isTie","gameNumber","publicFacing","doubleHeader","gamedayType","tiebreaker","calendarEventID","seasonDisplay","dayNight","scheduledInnings","reverseHomeAwayStatus","inningBreakLength","gamesInSeries","seriesGameNumber","seriesDescription","recordSource","ifNecessary","ifNecessaryDescription","status.abstractGameState","status.codedGameState","status.detailedState","status.statusCode","status.startTimeTBD","status.abstractGameCode","teams.away.score","teams.away.isWinner","teams.away.splitSquad","teams.away.seriesNumber","teams.away.leagueRecord.wins","teams.away.leagueRecord.losses","teams.away.leagueRecord.pct","teams.away.team.id","teams.away.team.name","teams.away.team.link","teams.home.score","teams.home.isWinner","teams.home.splitSquad","teams.home.seriesNumber","teams.home.leagueRecord.wins","teams.home.leagueRecord.losses","teams.home.leagueRecord.pct","teams.home.team.id","teams.home.team.name","teams.home.team.link","venue.id","venue.name","venue.link","content.link","description","rescheduleDate","rescheduleGameDate","status.reason","rescheduledFrom","rescheduledFromDate","resumeDate","resumeGameDate","resumedFrom","resumedFromDate"
"2068",575268,"/api/v1.1/game/575268/feed/live","R","2019","2019-07-11T23:00:00Z","2019-07-11",FALSE,1,TRUE,"N","Y","N","44-575268-2019-07-11","2019","night",9,FALSE,120,4,1,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",3,TRUE,FALSE,29,41,49,".456",512,"Toledo Mud Hens","/api/v1/teams/512",2,FALSE,FALSE,29,33,57,".367",416,"Louisville Bats","/api/v1/teams/416",2724,"Louisville Slugger Field","/api/v1/venues/2724","/api/v1/game/575268/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2069",575620,"/api/v1.1/game/575620/feed/live","R","2019","2019-07-11T23:04:00Z","2019-07-11",FALSE,1,TRUE,"N","Y","N","44-575620-2019-07-11","2019","night",9,FALSE,120,4,1,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",12,FALSE,FALSE,29,51,39,".567",431,"Gwinnett Stripers","/api/v1/teams/431",15,TRUE,FALSE,30,50,40,".556",494,"Charlotte Knights","/api/v1/teams/494",4670,"BB&T Ballpark","/api/v1/venues/4670","/api/v1/game/575620/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2070",575480,"/api/v1.1/game/575480/feed/live","R","2019","2019-07-11T23:05:00Z","2019-07-11",FALSE,1,TRUE,"N","Y","N","44-575480-2019-07-11","2019","night",9,FALSE,120,4,1,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",5,TRUE,FALSE,29,45,44,".506",484,"Indianapolis Indians","/api/v1/teams/484",4,FALSE,FALSE,29,55,34,".618",445,"Columbus Clippers","/api/v1/teams/445",3970,"Huntington Park","/api/v1/venues/3970","/api/v1/game/575480/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2071",575832,"/api/v1.1/game/575832/feed/live","R","2019","2019-07-11T23:05:00Z","2019-07-11",FALSE,1,TRUE,"N","Y","N","44-575832-2019-07-11","2019","night",9,FALSE,120,5,1,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",5,TRUE,FALSE,29,47,42,".528",422,"Buffalo Bisons","/api/v1/teams/422",4,FALSE,FALSE,29,35,53,".398",533,"Pawtucket Red Sox","/api/v1/teams/533",2808,"McCoy Stadium","/api/v1/venues/2808","/api/v1/game/575832/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2072",575198,"/api/v1.1/game/575198/feed/live","R","2019","2019-07-11T23:11:00Z","2019-07-11",FALSE,1,TRUE,"N","Y","N","44-575198-2019-07-11","2019","night",9,FALSE,120,4,1,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",4,FALSE,FALSE,29,34,56,".378",568,"Norfolk Tides","/api/v1/teams/568",6,TRUE,FALSE,30,54,37,".593",234,"Durham Bulls","/api/v1/teams/234",2541,"Durham Bulls Athletic Park","/api/v1/venues/2541","/api/v1/game/575198/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2073",587550,"/api/v1.1/game/587550/feed/live","R","2019","2019-07-12T00:00:00Z","2019-07-11",FALSE,1,TRUE,"N","Y","N","44-587550-2019-07-11","2019","night",9,FALSE,120,3,3,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",15,TRUE,FALSE,24,52,26,".667",5010,"Toros de Tijuana","/api/v1/teams/5010",9,FALSE,FALSE,25,45,33,".577",579,"Guerreros de Oaxaca","/api/v1/teams/579",2951,"Parque Lic. Eduardo Vasconcelos","/api/v1/venues/2951","/api/v1/game/587550/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2074",579742,"/api/v1.1/game/579742/feed/live","R","2019","2019-07-12T00:05:00Z","2019-07-11",FALSE,1,TRUE,"N","Y","N","44-579742-2019-07-11","2019","night",9,FALSE,120,4,1,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",8,TRUE,FALSE,23,40,51,".440",238,"Oklahoma City Dodgers","/api/v1/teams/238",6,FALSE,FALSE,23,36,55,".396",235,"Memphis Redbirds","/api/v1/teams/235",2542,"AutoZone Park","/api/v1/venues/2542","/api/v1/game/579742/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2075",580159,"/api/v1.1/game/580159/feed/live","R","2019","2019-07-12T00:05:00Z","2019-07-11",FALSE,1,TRUE,"N","Y","N","44-580159-2019-07-11","2019","night",9,FALSE,120,4,1,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",4,FALSE,FALSE,23,52,39,".571",451,"Iowa Cubs","/api/v1/teams/451",6,TRUE,FALSE,23,53,38,".582",102,"Round Rock Express","/api/v1/teams/102",2528,"Dell Diamond","/api/v1/venues/2528","/api/v1/game/580159/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2076",580373,"/api/v1.1/game/580373/feed/live","R","2019","2019-07-12T00:05:00Z","2019-07-11",FALSE,1,TRUE,"N","Y","N","44-580373-2019-07-11","2019","night",9,FALSE,120,4,1,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",2,FALSE,FALSE,23,42,49,".462",541,"Omaha Storm Chasers","/api/v1/teams/541",9,TRUE,FALSE,22,55,36,".604",510,"San Antonio Missions","/api/v1/teams/510",2818,"Nelson Wolff Stadium","/api/v1/venues/2818","/api/v1/game/580373/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2077",579812,"/api/v1.1/game/579812/feed/live","R","2019","2019-07-12T00:05:00Z","2019-07-11",FALSE,1,TRUE,"N","Y","N","44-579812-2019-07-11","2019","night",9,FALSE,120,4,1,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",7,FALSE,FALSE,22,49,42,".538",588,"New Orleans Baby Cakes","/api/v1/teams/588",11,TRUE,FALSE,23,39,52,".429",556,"Nashville Sounds","/api/v1/teams/556",4715,"First Tennessee Park","/api/v1/venues/4715","/api/v1/game/579812/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
